row_label_raw,row_label_full,col_0,31/12/2020%/năm,31/12/2019%/năm,numeric__31/12/2020%/năm,numeric__31/12/2019%/năm
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"0,10% - 3,30%","1,20% - 4,70%",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng VND > Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"0,12%","1,70%",0.0012,0.017
Tiền vay bằng VND,Tiền vay bằng VND,Tiền vay bằng VND,"0,75% - 6,50%","3,50% - 6,30%",,
Tiền vay bằng ngoại tệ,Tiền vay bằng ngoại tệ,Tiền vay bằng ngoại tệ,"0,70% - 8,20%","0,75% - 5,25%",,
