row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị dụng cụ quản lý Triệu VND,Tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị dụng cụ quản lý Triệu VND,numeric__Tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,971.856,705.157,117.639,126.895,68.386,1.989.933,971856.0,705157.0,117639.0,126895.0,68386.0,1989933.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,6.880,11.567,429,-,18.876,,6880.0,11567.0,429.0,,18876.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(681),(25.166),(1.221),(6.948),(6.030),(40.046),-681.0,-25166.0,-1221.0,-6948.0,-6030.0,-40046.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,44.666,-,6.086,823,51.575,,44666.0,,6086.0,823.0,51575.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,971.175,731.537,127.985,126.462,63.179,2.020.338,971175.0,731537.0,127985.0,126462.0,63179.0,2020338.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,51.209,476.332,85.535,88.099,52.635,753.810,51209.0,476332.0,85535.0,88099.0,52635.0,753810.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,24.685,94.902,10.529,22.722,9.252,162.090,24685.0,94902.0,10529.0,22722.0,9252.0,162090.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(479),(25.132),(1.221),(6.925),(6.030),(39.787),-479.0,-25132.0,-1221.0,-6925.0,-6030.0,-39787.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,75.415,546.102,94.843,103.896,55.857,876.113,75415.0,546102.0,94843.0,103896.0,55857.0,876113.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,920.647,228.825,32.104,38.796,15.751,1.236.123,920647.0,228825.0,32104.0,38796.0,15751.0,1236123.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,895.760,185.435,33.142,22.566,7.322,1.144.225,895760.0,185435.0,33142.0,22566.0,7322.0,1144225.0
