row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019(Triệu VND),EUR,USD,Vàng được quy đổi,Các ngoại tệ khácđược quy đổi,Tổng cộng,numeric__EUR,numeric__USD,numeric__Vàng được quy đổi,numeric__Các ngoại tệ khácđược quy đổi,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,207.336,155.356,169.520,295.781,827.993,207336.0,155356.0,169520.0,295781.0,827993.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,231.707,-,-,231.707,,231707.0,,,231707.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,68.875,819.483,-,92.640,980.998,68875.0,819483.0,,92640.0,980998.0
Các công cụ tài chính phải sinh và tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,(51.609),6.172.231,-,(69.782),6.050.840,-51609.0,6172231.0,,-69782.0,6050840.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,5.220,4.425.006,-,-,4.430.226,5220.0,4425006.0,,,4430226.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,7.176,8.157.434,-,32.336,8.196.946,7176.0,8157434.0,,32336.0,8196946.0
,,,236.998,19.961.217,169.520,350.975,20.718.710,236998.0,19961217.0,169520.0,350975.0,20718710.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
"Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác","Nợ phải trả > Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác","Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác",7.283,10.580.480,-,32.309,10.620.072,7283.0,10580480.0,,32309.0,10620072.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,225.847,3.814.323,-,321.297,4.361.467,225847.0,3814323.0,,321297.0,4361467.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,6.912.874,-,-,6.912.874,,6912874.0,,,6912874.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,912,654.320,-,1.971,657.203,912.0,654320.0,,1971.0,657203.0
,,,234.042,21.961.997,-,355.577,22.551.616,234042.0,21961997.0,,355577.0,22551616.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,2.956,(2.000.780),169.520,(4.602),(1.832.906),2956.0,-2000780.0,169520.0,-4602.0,-1832906.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,10.632,(133.635),-,(16.187),(139.190),10632.0,-133635.0,,-16187.0,-139190.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",13.588,(2.134.415),169.520,(20.789),(1.972.096),13588.0,-2134415.0,169520.0,-20789.0,-1972096.0
