row_label_raw,row_label_full,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng cộng,numeric__Đến 3 tháng,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
-,-,-,-,2.459.321,-,-,-,-,2.459.321,,2459321.0,,,,,2459321.0
-,-,-,-,3.009.041,-,-,-,-,3.009.041,,3009041.0,,,,,3009041.0
-,-,-,-,11.194.644,4.737.643,2.461.310,28.457,-,18.422.054,,11194644.0,4737643.0,2461310.0,28457.0,,18422054.0
-,-,-,-,1.571.141,-,-,-,-,1.571.141,,1571141.0,,,,,1571141.0
-,-,-,-,(13.149),42.185,(23.889),(530),-,4.617,,-13149.0,42185.0,-23889.0,-530.0,,4617.0
2.072.961,2.072.961,2.072.961,589.519,21.285.877,22.906.358,55.611.085,65.315.941,28.911.767,196.693.508,589519.0,21285877.0,22906358.0,55611085.0,65315941.0,28911767.0,196693508.0
-,-,-,-,382.172,1.621.347,14.669.837,33.871.942,17.241.609,67.786.907,,382172.0,1621347.0,14669837.0,33871942.0,17241609.0,67786907.0
-,-,-,-,-,-,-,-,7.905.637,7.905.637,,,,,,7905637.0,7905637.0
-,-,-,-,-,-,-,-,1.506.316,1.506.316,,,,,,1506316.0,1506316.0
43.584,43.584,43.584,-,8.816.482,2.803.683,8.942.063,-,-,20.605.812,,8816482.0,2803683.0,8942063.0,,,20605812.0
2.116.545,2.116.545,2.116.545,589.519,48.705.529,32.111.216,81.660.406,99.215.810,55.565.329,319.964.354,589519.0,48705529.0,32111216.0,81660406.0,99215810.0,55565329.0,319964354.0
-,-,-,-,42,2.181,17.269,-,-,19.492,,42.0,2181.0,17269.0,,,19492.0
-,-,-,-,12.371.535,6.534.463,11.832.078,1.368.640,8.475,32.115.191,,12371535.0,6534463.0,11832078.0,1368640.0,8475.0,32115191.0
-,-,-,-,71.945.198,45.366.753,84.110.445,9.560.026,1.360,210.983.782,,71945198.0,45366753.0,84110445.0,9560026.0,1360.0,210983782.0
-,-,-,-,180,29.737,78.369,173.337,10.200,291.823,,180.0,29737.0,78369.0,173337.0,10200.0,291823.0
-,-,-,-,659.985,32.628,124.849,25.602.784,1.000.000,27.420.246,,659985.0,32628.0,124849.0,25602784.0,1000000.0,27420246.0
-,-,-,-,8.950.910,-,-,-,-,8.950.910,,8950910.0,,,,,8950910.0
-,-,-,-,93.927.850,51.965.762,96.163.010,36.704.787,1.020.035,279.781.444,,93927850.0,51965762.0,96163010.0,36704787.0,1020035.0,279781444.0
2.116.545,2.116.545,2.116.545,589.519,(45.222.321),(19.854.546),(14.502.604),62.511.023,54.545.294,40.182.910,589519.0,-45222321.0,-19854546.0,-14502604.0,62511023.0,54545294.0,40182910.0
