row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu VND > Tại ngày 31 tháng 12 năm 2020,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Dòng tiền vàoTriệu VND > Tại ngày 31 tháng 12 năm 2020,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Dòng tiền raTriệu VND > Tại ngày 31 tháng 12 năm 2020,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Giá trị thuầnTriệu VND > Tại ngày 31 tháng 12 năm 2020,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu VND > Tại ngày 31 tháng 12 năm 2020,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Dòng tiền vàoTriệu VND > Tại ngày 31 tháng 12 năm 2020,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Dòng tiền raTriệu VND > Tại ngày 31 tháng 12 năm 2020,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Giá trị thuầnTriệu VND > Tại ngày 31 tháng 12 năm 2020
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,56.995.607,56.507.905,(56.770.712),(262.807),56995607.0,56507905.0,-56770712.0,-262807.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,5.660.822,5.657.466,(5.602.537),54.929,5660822.0,5657466.0,-5602537.0,54929.0
Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,51.334.785,50.850.439,(51.168.175),(317.736),51334785.0,50850439.0,-51168175.0,-317736.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,69.073.441,28.916.489,(28.767.562),148.927,69073441.0,28916489.0,-28767562.0,148927.0
,,,126.069.048,85.424.394,(85.538.274),(113.880),126069048.0,85424394.0,-85538274.0,-113880.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2019 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,47.809.279,47.636.716,(47.616.797),19.919,47809279.0,47636716.0,-47616797.0,19919.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2019 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,8.653.712,8.650.955,(8.542.072),108.883,8653712.0,8650955.0,-8542072.0,108883.0
Giao dịch hoán đối tiền tệ,Tại ngày 31 tháng 12 năm 2019 > Giao dịch hoán đối tiền tệ,Giao dịch hoán đối tiền tệ,39.155.567,38.985.761,(39.074.725),(88.964),39155567.0,38985761.0,-39074725.0,-88964.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2019 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,5.833.526,3.230.448,(3.245.750),(15.302),5833526.0,3230448.0,-3245750.0,-15302.0
,,,53.642.805,50.867.164,(50.862.547),4.617,53642805.0,50867164.0,-50862547.0,4617.0
