row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019(Triệu VND),Giá trị hợp lýthông quaBCKQHĐKD,Cho vay vàphải thu,Giá trị ghi sổSẵn sàngđể bán,Tài sản và nợkhác hạch toántheo giá trịphân bổ,Tổng cộnggiá trị ghi sổ,Giá trịhợp lý,numeric__Giá trị hợp lýthông quaBCKQHĐKD,numeric__Cho vay vàphải thu,numeric__Giá trị ghi sổSẵn sàngđể bán,numeric__Tài sản và nợkhác hạch toántheo giá trịphân bổ,numeric__Tổng cộnggiá trị ghi sổ,numeric__Giá trịhợp lý
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền mặt và vàng,Tài sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,-,2.459.321,-,-,2.459.321,2.459.321,,2459321.0,,,2459321.0,2459321.0
Tiền gửi tại NHNNVN,Tài sản tài chính > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,3.009.041,-,-,3.009.041,(*),,3009041.0,,,3009041.0,
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,18.422.054,-,-,18.422.054,(*),,18422054.0,,,18422054.0,
Các công cụ tài chính phải sinh và tài sản tài chính khác,Tài sản tài chính > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,4.617,-,-,-,4.617,(*),4617.0,,,,4617.0,
Chứng khoán kinh doanh - gộp,Tài sản tài chính > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,1.571.141,-,-,-,1.571.141,(*),1571141.0,,,,1571141.0,
Cho vay khách hàng và mua nợ - gộp,Tài sản tài chính > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,-,196.693.508,-,-,196.693.508,(*),,196693508.0,,,196693508.0,
Chứng khoán đầu tư sẵn sàng để bán - gộp,Tài sản tài chính > Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,-,-,67.786.907,-,67.786.907,(*),,,67786907.0,,67786907.0,
"Góp vốn, đầu tư dài hạn – gộp","Tài sản tài chính > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,238.602,-,238.602,(*),,,238602.0,,238602.0,
Tài sản tài chính khác,Tài sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,193.043,16.909.843,1.982.170,-,19.085.056,(*),193043.0,16909843.0,1982170.0,,19085056.0,
,,,1.768.801,237.493.767,70.007.679,-,309.270.247,,1768801.0,237493767.0,70007679.0,,309270247.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả tài chính > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,-,19.492,19.492,(*),,,,19492.0,19492.0,
"Tiền gửi và vay các TCTD, TCTC khác","Nợ phải trả tài chính > Tiền gửi và vay các TCTD, TCTC khác","Tiền gửi và vay các TCTD, TCTC khác",-,-,-,32.115.191,32.115.191,(*),,,,32115191.0,32115191.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,210.983.782,210.983.782,(*),,,,210983782.0,210983782.0,
"Vốn tài trợ, ủy thác đầu tư TCTD chịu rủi ro","Nợ phải trả tài chính > Vốn tài trợ, ủy thác đầu tư TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư TCTD chịu rủi ro",-,-,-,291.823,291.823,(*),,,,291823.0,291823.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,27.420.246,27.420.246,(*),,,,27420246.0,27420246.0,
Các khoản nợ tài chính khác,Nợ phải trả tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,173.955,-,-,7.707.508,7.881.463,(*),173955.0,,,7707508.0,7881463.0,
,,,173.955,-,-,278.538.042,278.711.997,,173955.0,,,278538042.0,278711997.0,
