row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Tại ngày 31 tháng 12 năm 2020(Triệu VND)","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > EUR","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > USD","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Vàng được quy đổi","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Các ngoại tệ khácđược quy đổi","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > EUR","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > USD","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Vàng được quy đổi","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Các ngoại tệ khácđược quy đổi","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2020 (tiếp theo) > Mẫu B05/TCTD(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộng"
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,389.308,118.784,26.310,602.791,1.137.193,389308.0,118784.0,26310.0,602791.0,1137193.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,225.934,-,-,225.934,,225934.0,,,225934.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,38.830,7.738.226,-,428.106,8.205.162,38830.0,7738226.0,,428106.0,8205162.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,2.260,4.473.272,-,-,4.475.532,2260.0,4473272.0,,,4475532.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,22.076,6.963.202,-,8.082,6.993.360,22076.0,6963202.0,,8082.0,6993360.0
,,,452.474,19.519.418,26.310,1.038.979,21.037.181,452474.0,19519418.0,26310.0,1038979.0,21037181.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
"Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác","Nợ phải trả > Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác","Các khoản nợ Chính phủ, NHNNVN và tiền gửi và vay cácTCTD, TCTC khác",22.022,20.731.593,-,8.022,20.761.637,22022.0,20731593.0,,8022.0,20761637.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,183.225,3.163.959,-,337.852,3.685.036,183225.0,3163959.0,,337852.0,3685036.0
Công cụ phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ phải sinh và các khoản nợ tài chính khác,Công cụ phải sinh và các khoản nợ tài chính khác,385.054,(13.687.964),-,697.646,(12.605.264),385054.0,-13687964.0,,697646.0,-12605264.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,6.906.025,-,-,6.906.025,,6906025.0,,,6906025.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,5.979,626.149,-,2.460,634.588,5979.0,626149.0,,2460.0,634588.0
,,,596.280,17.739.762,-,1.045.980,19.382.022,596280.0,17739762.0,,1045980.0,19382022.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(143.806),1.779.656,26.310,(7.001),1.655.159,-143806.0,1779656.0,26310.0,-7001.0,1655159.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,118.368,(4.807.062),-,-,(4.688.694),118368.0,-4807062.0,,,-4688694.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",(25.438),(3.027.406),26.310,(7.001),(3.033.535),-25438.0,-3027406.0,26310.0,-7001.0,-3033535.0
