row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Các giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
ABBA và ABBAS,Các công ty con > ABBA và ABBAS,ABBA và ABBAS,Lãi dự chi tiền gửi,(18),(5),,-18.0,-5.0
ABBA và ABBAS,Các công ty con > ABBA và ABBAS,ABBA và ABBAS,Phải trả phí hoạt động,(5.827),(5.034),,-5827.0,-5034.0
ABBA và ABBAS,Các công ty con > ABBA và ABBAS,ABBA và ABBAS,Đặt cọc mua bất động sản,144.000,-,,144000.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Tiền gửi,(187.937),(490.798),,-187937.0,-490798.0
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Lãi dự chi tiền gửi,(63),(1.923),,-63.0,-1923.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Tiền gửi,(13.003),(5.573),,-13003.0,-5573.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Lãi dự chi tiền gửi,(247),(151),,-247.0,-151.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Tiền gửi,(10.111),(1.539),,-10111.0,-1539.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Lãi dự chi tiền gửi,(148),(23),,-148.0,-23.0
