row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2022,Tài sản tại ngày 31 tháng 12 năm 2022,Tài sản tại ngày 31 tháng 12 năm 2022,Tài sản tại ngày 31 tháng 12 năm 2022,Tài sản tại ngày 31 tháng 12 năm 2022,Tài sản tại ngày 31 tháng 12 năm 2022,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2022 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,19.583.202,822.740,20.405.942,19583202.0,822740.0,20405942.0
Các công cụ tài chính phải sinh,Tài sản tại ngày 31 tháng 12 năm 2022 > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,48.572.065,-,48.572.065,48572065.0,,48572065.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2022 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,82.010.162,490,82.010.652,82010162.0,490.0,82010652.0
Hoạt động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2022 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,1.050.000,-,1.050.000,1050000.0,,1050000.0
Chứng khoán đầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2022 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,17.479.596,-,17.479.596,17479596.0,,17479596.0
"Góp vốn, đầu tư dài hạn","Tài sản tại ngày 31 tháng 12 năm 2022 > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",376.936,-,376.936,376936.0,,376936.0
Công nợ tại ngày 31 tháng 12 năm 2022,Công nợ tại ngày 31 tháng 12 năm 2022,Công nợ tại ngày 31 tháng 12 năm 2022,Công nợ tại ngày 31 tháng 12 năm 2022,Công nợ tại ngày 31 tháng 12 năm 2022,Công nợ tại ngày 31 tháng 12 năm 2022,,,
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2022 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,21.085.690,1.095.592,22.181.282,21085690.0,1095592.0,22181282.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2022 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,83.636.973,499.971,84.136.944,83636973.0,499971.0,84136944.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2022 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",57.913,156.843,214.756,57913.0,156843.0,214756.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2022 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,7.700.000,-,7.700.000,7700000.0,,7700000.0
Các cam kết ngoại bảng tại ngày 31 tháng 12 năm 2022,Các cam kết ngoại bảng tại ngày 31 tháng 12 năm 2022,Các cam kết ngoại bảng tại ngày 31 tháng 12 năm 2022,Các cam kết ngoại bảng tại ngày 31 tháng 12 năm 2022,Các cam kết ngoại bảng tại ngày 31 tháng 12 năm 2022,Các cam kết ngoại bảng tại ngày 31 tháng 12 năm 2022,,,
Cam kết cho vay không hủy ngang,Các cam kết ngoại bảng tại ngày 31 tháng 12 năm 2022 > Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,30.493,-,30.493,30493.0,,30493.0
Cam kết trong nghiệp vụ thư tín dụng,Các cam kết ngoại bảng tại ngày 31 tháng 12 năm 2022 > Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,2.914.698,-,2.914.698,2914698.0,,2914698.0
Bảo lãnh khác,Các cam kết ngoại bảng tại ngày 31 tháng 12 năm 2022 > Bảo lãnh khác,Bảo lãnh khác,5.870.886,-,5.870.886,5870886.0,,5870886.0
Các cam kết khác,Các cam kết ngoại bảng tại ngày 31 tháng 12 năm 2022 > Các cam kết khác,Các cam kết khác,157.031,-,157.031,157031.0,,157031.0
