row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Chức vụ,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,21.061,19.462,,21061.0,19462.0
Ông Đào Mạnh Kháng,Ông Đào Mạnh Kháng,Ông Đào Mạnh Kháng,Chủ tịch,6.667,6.556,,6667.0,6556.0
Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Ông Vũ Văn Tiền,Phó Chủ tịch,5.833,4.622,,5833.0,4622.0
Ông Lưu Văn Sáu,Ông Lưu Văn Sáu,Ông Lưu Văn Sáu,Thành viên độc lập,1.707,1.596,,1707.0,1596.0
Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Ông Nguyễn Danh Lương,Thành viên độc lập,1.973,1.862,,1973.0,1862.0
Ông Soon Su Long,Ông Soon Su Long,Ông Soon Su Long,Thành viên,1.719,1.615,,1719.0,1615.0
Bà Iris Fang,Bà Iris Fang,Bà Iris Fang,Thành viên,1.422,1.596,,1422.0,1596.0
Ông Jason Lim Tsu Yang,Ông Jason Lim Tsu Yang,Ông Jason Lim Tsu Yang,Thành viên,1.740,1.615,,1740.0,1615.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,4.080,4.080,,4080.0,4080.0
Bà Nguyễn Thị Hạnh Tâm,Bà Nguyễn Thị Hạnh Tâm,Bà Nguyễn Thị Hạnh Tâm,Trường ban,2.400,2.400,,2400.0,2400.0
Bà Phạm Thị Hằng,Bà Phạm Thị Hằng,Bà Phạm Thị Hằng,Thành viênchuyên trách,600,600,,600.0,600.0
Bà Nguyễn Thị Thanh Thái,Bà Nguyễn Thị Thanh Thái,Bà Nguyễn Thị Thanh Thái,Thành viènbán chuyên trách,1.080,1.080,,1080.0,1080.0
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,,3.000,2.223,,3000.0,2223.0
Ông Nguyễn Mạnh Quân,Ông Nguyễn Mạnh Quân,Ông Nguyễn Mạnh Quân,Quyền Tổng Giám đốc,3.000,2.223,,3000.0,2223.0
