row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Kinh doanhTriệu đồng,Giá trị ghi sổ > Giữ đếngày đáo hạnTriệu đồng,Giá trị ghi sổ > Cho vay vàphải thuTriệu đồng,Giá trị ghi sổ > Sẵn sàngđể bánTriệu đồng,Giá trị ghi sổ > Tài sản khácvà nợ tài chínhhạch toán theogiá trị phân bổTriệu đồng,Giá trị ghi sổ > Tổng cộnggiá trị ghi sổTriệu đồng,Giá trị ghi sổ > Giá trị hợp lýTriệu đồng,numeric__Giá trị ghi sổ > Kinh doanhTriệu đồng,numeric__Giá trị ghi sổ > Giữ đếngày đáo hạnTriệu đồng,numeric__Giá trị ghi sổ > Cho vay vàphải thuTriệu đồng,numeric__Giá trị ghi sổ > Sẵn sàngđể bánTriệu đồng,numeric__Giá trị ghi sổ > Tài sản khácvà nợ tài chínhhạch toán theogiá trị phân bổTriệu đồng,numeric__Giá trị ghi sổ > Tổng cộnggiá trị ghi sổTriệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lýTriệu đồng
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,
Tiền mặt,Tài sản tài chính > Tiền mặt,Tiền mặt,-,-,-,-,480.517,480.517,480.517,,,,,480517.0,480517.0,480517.0
Tiền gửi tại NHNN Việt Nam,Tài sản tài chính > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,-,-,2.705.647,2.705.647,2.705.647,,,,,2705647.0,2705647.0,2705647.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,-,-,20.405.942,20.405.942,(*),,,,,20405942.0,20405942.0,
Công cụ tài chính phải sinh,Tài sản tài chính > Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,440.445,-,-,-,-,440.445,,440445.0,,,,,440445.0,
Cho vay khách hàng,Tài sản tài chính > Cho vay khách hàng,Cho vay khách hàng,-,-,80.984.119,-,-,80.984.119,(*),,,80984119.0,,,80984119.0,
Hoạt động mua nợ,Tài sản tài chính > Hoạt động mua nợ,Hoạt động mua nợ,-,-,1.042.125,-,-,1.042.125,(*),,,1042125.0,,,1042125.0,
Chứng khoán đầu tư,Tài sản tài chính > Chứng khoán đầu tư,Chứng khoán đầu tư,-,655.565,-,16.781.742,-,17.437.307,(*),,655565.0,,16781742.0,,17437307.0,
"Góp vốn, đầu tư dài hạn","Tài sản tài chính > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,376.936,-,376.936,(*),,,,376936.0,,376936.0,
Tài sản tài chính khác,Tài sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,-,3.936.124,3.936.124,(*),,,,,3936124.0,3936124.0,
,,,440.445,655.565,82.026.244,17.158.678,27.528.230,127.809.162,,440445.0,655565.0,82026244.0,17158678.0,27528230.0,127809162.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,22.181.282,22.181.282,(*),,,,,22181282.0,22181282.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,84.136.944,84.136.944,(*),,,,,84136944.0,84136944.0,
"Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả tài chính > Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,-,214.756,214.756,(*),,,,,214756.0,214756.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,7.700.000,7.700.000,(*),,,,,7700000.0,7700000.0,
Các khoản nợ tài chính khác,Nợ phải trả tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,2.799.290,2.799.290,(*),,,,,2799290.0,2799290.0,
,,,-,-,-,-,117.032.272,117.032.272,,,,,,117032272.0,117032272.0,
