row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Giá trị ghi số kế toán ròng(theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Giá trị ghi số kế toán ròng(theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,numeric__Giá trị ghi số kế toán ròng(theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,numeric__Giá trị ghi số kế toán ròng(theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,14.606.259,85.190,-,14606259.0,85190.0,
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,33.965.806,355.255,-,33965806.0,355255.0,
,,,48.572.065,440.445,-,48572065.0,440445.0,
Số thuần,Số thuần,Số thuần,,440.445,,,440445.0,
Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,79.934.912,30.657,-,79934912.0,30657.0,
Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,93.653.525,85.222,-,93653525.0,85222.0,
,,,173.588.437,115.879,-,173588437.0,115879.0,
Số thuần,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021 > Số thuần,Số thuần,,115.879,,,115879.0,
