row_label_raw,row_label_full,col_0,Số cuối năm > Mệnh giáTriệu đồng,Số cuối năm > Giá trị ghi sổTriệu đồng,Số cuối năm > Tỷ lệsở hữu%,Số đầu năm > Mệnh giáTriệu đồng,Số đầu năm > Giá trị ghi sổTriệu đồng,Số đầu năm > Tỷ lệsở hữu%,numeric__Số cuối năm > Mệnh giáTriệu đồng,numeric__Số cuối năm > Giá trị ghi sổTriệu đồng,numeric__Số cuối năm > Tỷ lệsở hữu%,numeric__Số đầu năm > Mệnh giáTriệu đồng,numeric__Số đầu năm > Giá trị ghi sổTriệu đồng,numeric__Số đầu năm > Tỷ lệsở hữu%
Công ty Tài chính Cổ phần Điện Lực,Công ty Tài chính Cổ phần Điện Lực,Công ty Tài chính Cổ phần Điện Lực,81.586,58.145,"2,32",70.801,58.145,"2,32",81586.0,58145.0,2.32,70801.0,58145.0,2.32
Công ty Cổ phần EVN - Quốc tế,Công ty Cổ phần EVN - Quốc tế,Công ty Cổ phần EVN - Quốc tế,37.800,37.800,"10,31",37.800,37.800,"10,31",37800.0,37800.0,10.31,37800.0,37800.0,10.31
Công ty Cổ phần Đầu tư Điện lực 3,Công ty Cổ phần Đầu tư Điện lực 3,Công ty Cổ phần Đầu tư Điện lực 3,17.225,15.057,"5,17",17.225,15.057,"5,17",17225.0,15057.0,5.17,17225.0,15057.0,5.17
Công ty Cổ phần Thông tin Tín dụng Việt Nam,Công ty Cổ phần Thông tin Tín dụng Việt Nam,Công ty Cổ phần Thông tin Tín dụng Việt Nam,3.934,3.934,"3,28",3.934,3.934,"3,28",3934.0,3934.0,3.28,3934.0,3934.0,3.28
Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,2.600,2.000,"0,83",2.600,2.000,"0,83",2600.0,2000.0,0.83,2600.0,2000.0,0.83
,,,143.145,116.936,,132.360,116.936,,143145.0,116936.0,,132360.0,116936.0,
14.3 Dự phòng giảm giá đầu tư dài hạn,14.3 Dự phòng giảm giá đầu tư dài hạn,14.3 Dự phòng giảm giá đầu tư dài hạn,14.3 Dự phòng giảm giá đầu tư dài hạn,14.3 Dự phòng giảm giá đầu tư dài hạn,14.3 Dự phòng giảm giá đầu tư dài hạn,14.3 Dự phòng giảm giá đầu tư dài hạn,14.3 Dự phòng giảm giá đầu tư dài hạn,14.3 Dự phòng giảm giá đầu tư dài hạn,,,,,,
,,,Năm nayTriệu đồng,Năm trướcTriệu đồng,,,,,,,,,,
Số đầu năm,14.3 Dự phòng giảm giá đầu tư dài hạn > Số đầu năm,Số đầu năm,-,16.654,,,,,,16654.0,,,,
Số hoàn nhập trong năm,14.3 Dự phòng giảm giá đầu tư dài hạn > Số hoàn nhập trong năm,Số hoàn nhập trong năm,-,(16.654),,,,,,-16654.0,,,,
Số cuối năm,Số cuối năm,Số cuối năm,-,-,,,,,,,,,,
