row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,1.028.087,980.903,1028087.0,980903.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,890.603,865.288,890603.0,865288.0
Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,80.278,69.208,80278.0,69208.0
Chi ăn ca,Chi ăn ca,Chi ăn ca,36.607,34.421,36607.0,34421.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,20.599,11.986,20599.0,11986.0
Chi phí về tài sản,Chi phí về tài sản,Chi phí về tài sản,517.628,493.306,517628.0,493306.0
Chi phí thuê văn phòng,Chi phí thuê văn phòng,Chi phí thuê văn phòng,261.544,257.699,261544.0,257699.0
Bảo dưỡng và sửa chữa tài sản,Bảo dưỡng và sửa chữa tài sản,Bảo dưỡng và sửa chữa tài sản,128.314,115.194,128314.0,115194.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,87.164,87.997,87164.0,87997.0
Mua sắm công cụ lao động,Mua sắm công cụ lao động,Mua sắm công cụ lao động,33.255,27.702,33255.0,27702.0
Chi mua bảo hiểm tài sản,Chi mua bảo hiểm tài sản,Chi mua bảo hiểm tài sản,7.351,4.714,7351.0,4714.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,505.351,394.733,505351.0,394733.0
"Chi hội nghị, lễ tân, khách tiết","Chi hội nghị, lễ tân, khách tiết","Chi hội nghị, lễ tân, khách tiết",152.747,119.031,152747.0,119031.0
"Chi xuất bản tài liệu, quảng cáo","Chi xuất bản tài liệu, quảng cáo","Chi xuất bản tài liệu, quảng cáo",63.078,47.456,63078.0,47456.0
Chi nộp phí bảo hiểm tiền gửi của khách hàng,Chi nộp phí bảo hiểm tiền gửi của khách hàng,Chi nộp phí bảo hiểm tiền gửi của khách hàng,52.416,50.527,52416.0,50527.0
"Chi điện nước, vệ sinh cơ quan","Chi điện nước, vệ sinh cơ quan","Chi điện nước, vệ sinh cơ quan",41.606,42.900,41606.0,42900.0
"Chi vật liệu, giấy tờ in","Chi vật liệu, giấy tờ in","Chi vật liệu, giấy tờ in",18.920,19.135,18920.0,19135.0
"Chi đào tạo, huấn luyện","Chi đào tạo, huấn luyện","Chi đào tạo, huấn luyện",16.964,672,16964.0,672.0
Công tác phí,Công tác phí,Công tác phí,14.094,7.099,14094.0,7099.0
"Chi nghiền cứu và ứng dụng khoa học công nghệ, sáng kiến, cải tiến","Chi nghiền cứu và ứng dụng khoa học công nghệ, sáng kiến, cải tiến","Chi nghiền cứu và ứng dụng khoa học công nghệ, sáng kiến, cải tiến",9.145,-,9145.0,
Chi bưu phí và điện thoại,Chi bưu phí và điện thoại,Chi bưu phí và điện thoại,8.443,8.120,8443.0,8120.0
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",2.861,1.576,2861.0,1576.0
"Chi phí thanh tra, kiểm tra hoạt động tổ chức tín dụng","Chi phí thanh tra, kiểm tra hoạt động tổ chức tín dụng","Chi phí thanh tra, kiểm tra hoạt động tổ chức tín dụng",979,1.775,979.0,1775.0
(Hoàn nhập)/chi phí dự phòng rủi ro cho các tài sản có nội bằng khác,(Hoàn nhập)/chi phí dự phòng rủi ro cho các tài sản có nội bằng khác,(Hoàn nhập)/chi phí dự phòng rủi ro cho các tài sản có nội bằng khác,(11.044),18.022,-11044.0,18022.0
Hoàn nhập dự phòng giảm giá đầu tư dài hạn,Hoàn nhập dự phòng giảm giá đầu tư dài hạn,Hoàn nhập dự phòng giảm giá đầu tư dài hạn,-,(16.654),,-16654.0
Các khoản chi phí khác,Các khoản chi phí khác,Các khoản chi phí khác,135.142,95.074,135142.0,95074.0
,,,2.051.066,1.868.942,2051066.0,1868942.0
