row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,380.558,235.134,380558.0,235134.0
Thu từ các khoản nợ đã xử lý,Thu từ các khoản nợ đã xử lý,Thu từ các khoản nợ đã xử lý,345.889,182.675,345889.0,182675.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,7.993,29.212,7993.0,29212.0
Hoàn ứng chi phí hoạt động,Hoàn ứng chi phí hoạt động,Hoàn ứng chi phí hoạt động,2.328,5.289,2328.0,5289.0
Thu nhập từ IFC,Thu nhập từ IFC,Thu nhập từ IFC,2.842,4.616,2842.0,4616.0
Thu nhập từ thanh lý tài sản,Thu nhập từ thanh lý tài sản,Thu nhập từ thanh lý tài sản,1.175,1.949,1175.0,1949.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,20.331,11.393,20331.0,11393.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(28.405),(64.401),-28405.0,-64401.0
Chi công tác xã hội,Chi công tác xã hội,Chi công tác xã hội,(13.098),(24.147),-13098.0,-24147.0
Lỗ từ hoán đổi lãi suất,Lỗ từ hoán đổi lãi suất,Lỗ từ hoán đổi lãi suất,(10.035),(37.524),-10035.0,-37524.0
Chi phí khác,Chi phí khác,Chi phí khác,(5.272),(2.730),-5272.0,-2730.0
,,,352.153,170.733,352153.0,170733.0
