row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Phải thu nghiệp vụ liên quan LC UPAS,Phải thu nghiệp vụ liên quan LC UPAS,Phải thu nghiệp vụ liên quan LC UPAS,1.894.749,188.785,1894749.0,188785.0
Phải thu giao dịch thể,Phải thu giao dịch thể,Phải thu giao dịch thể,416.064,464.969,416064.0,464969.0
"Đặt cọc, ký quỹ, thế chấp, cầm cố (i)","Đặt cọc, ký quỹ, thế chấp, cầm cố (i)","Đặt cọc, ký quỹ, thế chấp, cầm cố (i)",213.944,66.469,213944.0,66469.0
Tạm ứng hoạt động nghiệp vụ,Tạm ứng hoạt động nghiệp vụ,Tạm ứng hoạt động nghiệp vụ,127.100,137.615,127100.0,137615.0
Phải thu cố tức ABBA - công ty con,Phải thu cố tức ABBA - công ty con,Phải thu cố tức ABBA - công ty con,117.212,73.647,117212.0,73647.0
Phải thu từ nghiệp vụ bán nợ (ii),Phải thu từ nghiệp vụ bán nợ (ii),Phải thu từ nghiệp vụ bán nợ (ii),87.447,132.865,87447.0,132865.0
"Phải thu giao dịch mua, bán ngoại tệ chờ xử lý","Phải thu giao dịch mua, bán ngoại tệ chờ xử lý","Phải thu giao dịch mua, bán ngoại tệ chờ xử lý",86.979,-,86979.0,
Tạm ứng chi phí hoạt động cho đối tác,Tạm ứng chi phí hoạt động cho đối tác,Tạm ứng chi phí hoạt động cho đối tác,79.425,94.130,79425.0,94130.0
Phải thu tiền xử lý tài sản theo thi hành án,Phải thu tiền xử lý tài sản theo thi hành án,Phải thu tiền xử lý tài sản theo thi hành án,57.120,-,57120.0,
Phải thu bán chứng khoán (iii),Phải thu bán chứng khoán (iii),Phải thu bán chứng khoán (iii),36.228,89.728,36228.0,89728.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,16.049,74.210,16049.0,74210.0
Phải thu Công ty Cổ phần Đầu tư Bất động sảnAn Bình (iv),Phải thu Công ty Cổ phần Đầu tư Bất động sảnAn Bình (iv),Phải thu Công ty Cổ phần Đầu tư Bất động sảnAn Bình (iv),13.245,13.245,13245.0,13245.0
Tạm ứng mua sắm tài sản,Tạm ứng mua sắm tài sản,Tạm ứng mua sắm tài sản,10.433,7.557,10433.0,7557.0
Thuế giá trị gia tăng đầu vào,Thuế giá trị gia tăng đầu vào,Thuế giá trị gia tăng đầu vào,9.368,-,9368.0,
Phải thu tiền đặt cọc quyền mua cố phần Công tyCổ phần Dược phẩm Viễn Đông (DVD) (v),Phải thu tiền đặt cọc quyền mua cố phần Công tyCổ phần Dược phẩm Viễn Đông (DVD) (v),Phải thu tiền đặt cọc quyền mua cố phần Công tyCổ phần Dược phẩm Viễn Đông (DVD) (v),5.225,5.225,5225.0,5225.0
Phải thu liên quan đến góp vốn đầu tư -EVN Tây Nguyên,Phải thu liên quan đến góp vốn đầu tư -EVN Tây Nguyên,Phải thu liên quan đến góp vốn đầu tư -EVN Tây Nguyên,3.333,3.333,3333.0,3333.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,37.426,38.042,37426.0,38042.0
,,,3.211.347,1.389.820,3211347.0,1389820.0
