row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,38.794.270,"47,30",35.829.682,"51,93",38794270.0,47.3,35829682.0,51.93
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,21.251.226,"25,91",18.582.941,"26,94",21251226.0,25.91,18582941.0,26.94
Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,15.540.005,"18,95",15.074.275,"21,85",15540005.0,18.95,15074275.0,21.85
Công ty nhà nước,Công ty nhà nước,Công ty nhà nước,1.495.726,"1,82",1.748.046,"2,53",1495726.0,1.82,1748046.0,2.53
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,473.977,"0,58",352.213,"0,51",473977.0,0.58,352213.0,0.51
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,17.153,"0,02",23.556,"0,03",17153.0,0.02,23556.0,0.03
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,16.183,"0,02",14.715,"0,02",16183.0,0.02,14715.0,0.02
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,-,-,20.582,"0,03",,,20582.0,0.03
Khác,Khác,Khác,-,-,13.354,"0,02",,,13354.0,0.02
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,43.216.382,"52,70",33.154.317,"48,07",43216382.0,52.7,33154317.0,48.07
,,,82.010.652,"100,00",68.983.999,"100,00",82010652.0,100.0,68983999.0,100.0
