row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
"Tiền gửi không kỳ hạn (""KKH"")","Tiền gửi không kỳ hạn (""KKH"")","Tiền gửi không kỳ hạn (""KKH"")",9.998.987,11.082.407,9998987.0,11082407.0
Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,8.989.092,10.605.073,8989092.0,10605073.0
Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,1.008.404,476.030,1008404.0,476030.0
Tiền gửi tiết kiệm KKH bằng VND,Tiền gửi tiết kiệm KKH bằng VND,Tiền gửi tiết kiệm KKH bằng VND,85,159,85.0,159.0
Tiền gửi tiết kiệm KKH bằng ngoại tệ,Tiền gửi tiết kiệm KKH bằng ngoại tệ,Tiền gửi tiết kiệm KKH bằng ngoại tệ,1.406,1.145,1406.0,1145.0
"Tiền gửi có kỳ hạn (""CKH"")","Tiền gửi có kỳ hạn (""CKH"")","Tiền gửi có kỳ hạn (""CKH"")",73.434.777,56.254.238,73434777.0,56254238.0
Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,23.613.700,29.078.467,23613700.0,29078467.0
Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,1.886,-,1886.0,
Tiền gửi tiết kiệm CKH bằng VND,Tiền gửi tiết kiệm CKH bằng VND,Tiền gửi tiết kiệm CKH bằng VND,49.474.600,26.648.212,49474600.0,26648212.0
Tiền gửi tiết kiệm CKH bằng ngoại tệ,Tiền gửi tiết kiệm CKH bằng ngoại tệ,Tiền gửi tiết kiệm CKH bằng ngoại tệ,344.591,527.559,344591.0,527559.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,232.062,71.656,232062.0,71656.0
Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,8.068,20.484,8068.0,20484.0
Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,223.994,51.172,223994.0,51172.0
Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,471.118,441.074,471118.0,441074.0
Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,443.509,427.612,443509.0,427612.0
Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,27.609,13.462,27609.0,13462.0
,,,84.136.944,67.849.375,84136944.0,67849375.0
