row_label_raw,row_label_full,col_0,Kinh doanh khí và cácsản phẩm khí,Hoạt động phụ trợkinh doanh khí và cácsản phẩm khí,Loại trừ nội bộvà điều chỉnh,Tổng cộng,numeric__Kinh doanh khí và cácsản phẩm khí,numeric__Hoạt động phụ trợkinh doanh khí và cácsản phẩm khí,numeric__Loại trừ nội bộvà điều chỉnh,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,
Tổng doanh thu thuần,Doanh thu > Tổng doanh thu thuần,Tổng doanh thu thuần,65.860.918.700.366,(5.770.501.743),(6.778.955.022.962),59.076.193.175.661,65860918700366.0,-5770501743.0,-6778955022962.0,59076193175661.0
Doanh thu nội bộ,Doanh thu > Doanh thu nội bộ,Doanh thu nội bộ,6.761.060.409.861,17.894.613.101,(6.778.955.022.962),-,6761060409861.0,17894613101.0,-6778955022962.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,59.099.858.290.505,(23.665.114.844),-,59.076.193.175.661,59099858290505.0,-23665114844.0,,59076193175661.0
Chi phí kinh doanh,Doanh thu > Chi phí kinh doanh,Chi phí kinh doanh,57.111.218.425.760,295.849.540.700,(6.790.145.826.344),50.616.922.140.116,57111218425760.0,295849540700.0,-6790145826344.0,50616922140116.0
- Giá vốn hàng bán,Doanh thu > - Giá vốn hàng bán,- Giá vốn hàng bán,54.086.785.046.768,244.713.894.898,(6.810.266.495.749),47.521.232.445.917,54086785046768.0,244713894898.0,-6810266495749.0,47521232445917.0
- Chi phí bán hàng,Doanh thu > - Chi phí bán hàng,- Chi phí bán hàng,2.203.329.164.066,-,(73.022.020.540),2.130.307.143.526,2203329164066.0,,-73022020540.0,2130307143526.0
- Chi phí quản lý doanh nghiệp,Doanh thu > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,821.104.214.926,51.135.645.802,93.142.689.945,965.382.550.673,821104214926.0,51135645802.0,93142689945.0,965382550673.0
Kết quả hoạt động kinh doanh,Doanh thu > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,8.749.700.274.606,(301.620.042.443),11.190.803.382,8.459.271.035.545,8749700274606.0,-301620042443.0,11190803382.0,8459271035545.0
"Phần lợi nhuận trong các công ty liên doanh, liên kết","Doanh thu > Phần lợi nhuận trong các công ty liên doanh, liên kết","Phần lợi nhuận trong các công ty liên doanh, liên kết",,,,371.260.141,,,,371260141.0
Doanh thu hoạt động tài chính,Doanh thu > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,1.136.087.785.475,,,,1136087785475.0
Chi phí tài chính,Doanh thu > Chi phí tài chính,Chi phí tài chính,,,,494.200.815.972,,,,494200815972.0
Lợi nhuận khác,Doanh thu > Lợi nhuận khác,Lợi nhuận khác,,,,50.714.216.449,,,,50714216449.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Doanh thu > Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,9.152.243.481.638,,,,9152243481638.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,1.932.844.957.820,,,,1932844957820.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Doanh thu > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,46.988.793.631,,,,46988793631.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Doanh thu > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,7.172.409.730.187,,,,7172409730187.0
