row_label_raw,row_label_full,col_0,"Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Tổng cộngVND,"numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,93.009.509.060,1.521.235.000,94.530.744.060,93009509060.0,1521235000.0,94530744060.0
Chuyển sang Tài sản cố định hữu hình,NGUYÊN GIÁ > Chuyển sang Tài sản cố định hữu hình,Chuyển sang Tài sản cố định hữu hình,(7.586.818.182),-,(7.586.818.182),-7586818182.0,,-7586818182.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,85.422.690.878,1.521.235.000,86.943.925.878,85422690878.0,1521235000.0,86943925878.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,35.780.281.155,1.521.235.000,37.301.516.155,35780281155.0,1521235000.0,37301516155.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,16.632.761.570,-,16.632.761.570,16632761570.0,,16632761570.0
Chuyển sang Tài sản cố định hữu hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang Tài sản cố định hữu hình,Chuyển sang Tài sản cố định hữu hình,(3.754.053.042),-,(3.754.053.042),-3754053042.0,,-3754053042.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,48.658.989.683,1.521.235.000,50.180.224.683,48658989683.0,1521235000.0,50180224683.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,36.763.701.195,-,36.763.701.195,36763701195.0,,36763701195.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,57.229.227.905,-,57.229.227.905,57229227905.0,,57229227905.0
