row_label_raw,row_label_full,col_0,Năm naySố năm,numeric__Năm naySố năm
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",05,5.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,03 - 06,
