row_label_raw,row_label_full,col_0,Khấu hao tài sản cố định và các khoản dự phòng VND,Lợi nhuận chưa thực hiện VND,Tổng cộng VND,numeric__Khấu hao tài sản cố định và các khoản dự phòng VND,numeric__Lợi nhuận chưa thực hiện VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,15.824.170.724,31.196.662.650,47.020.833.374,15824170724.0,31196662650.0,47020833374.0
Điều chỉnh năm trước,Điều chỉnh năm trước,Điều chỉnh năm trước,-,4.751.052.912,4.751.052.912,,4751052912.0,4751052912.0
Ghi nhận trong năm,Ghi nhận trong năm,Ghi nhận trong năm,223.486.345,(1.909.346.751),(1.685.860.406),223486345.0,-1909346751.0,-1685860406.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,16.047.657.069,34.038.368.811,50.086.025.880,16047657069.0,34038368811.0,50086025880.0
Ghi nhận trong năm,Ghi nhận trong năm,Ghi nhận trong năm,3.466.961.814,6.112.901.681,9.579.863.495,3466961814.0,6112901681.0,9579863495.0
Bù trừ với thuế thu nhập doanh nghiệp hoãn lại phải trả,Bù trừ với thuế thu nhập doanh nghiệp hoãn lại phải trả,Bù trừ với thuế thu nhập doanh nghiệp hoãn lại phải trả,-,(13.524.122.859),(13.524.122.859),,-13524122859.0,-13524122859.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,19.514.618.883,26.627.147.633,46.141.766.516,19514618883.0,26627147633.0,46141766516.0
