row_label_raw,row_label_full,col_0,Năm naySố năm,numeric__Năm naySố năm
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",05 - 50,
"Máy móc, thiết bị (*)","Máy móc, thiết bị (*)","Máy móc, thiết bị (*)",03 - 20,
Phương tiện vận tải và thiết bị truyền dẫn,Phương tiện vận tải và thiết bị truyền dẫn,Phương tiện vận tải và thiết bị truyền dẫn,06 - 10,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,03 - 10,
Tài sản cố định khác (bao gồm các công trình khí),Tài sản cố định khác (bao gồm các công trình khí),Tài sản cố định khác (bao gồm các công trình khí),03 - 20,
