row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,38.256.957.853.411,33.202.945.162.630,,100.0,,38256957853411.0,33202945162630.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,13.502.016.964.678,13.537.560.908.336,,110.0,4.0,13502016964678.0,13537560908336.0
I.,I.,I.,1. Tiền,111,,1.729.822.059.995,1.229.433.772.605,,111.0,,1729822059995.0,1229433772605.0
I.,I.,I.,2. Các khoản tương đương tiền,112,,11.772.194.904.683,12.308.127.135.731,,112.0,,11772194904683.0,12308127135731.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,13.577.350.000.000,5.898.450.000.000,,120.0,5.0,13577350000000.0,5898450000000.0
II.,II.,II.,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,13.577.350.000.000,5.898.450.000.000,,123.0,,13577350000000.0,5898450000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,9.174.883.054.445,11.878.375.723.172,,130.0,,9174883054445.0,11878375723172.0
III.,III.,III.,1. Phải thu ngắn hạn của khách hàng,131,6,4.939.924.555.881,5.689.790.297.632,,131.0,6.0,4939924555881.0,5689790297632.0
III.,III.,III.,2. Trả trước cho người bán ngắn hạn,132,7,155.519.627.817,298.443.263.847,,132.0,7.0,155519627817.0,298443263847.0
III.,III.,III.,3. Phải thu ngắn hạn khác,136,8,4.344.161.903.788,6.026.512.079.069,,136.0,8.0,4344161903788.0,6026512079069.0
III.,III.,III.,4. Dự phòng phải thu ngắn hạn khó đòi,137,9,(265.538.086.194),(136.420.813.120),,137.0,9.0,-265538086194.0,-136420813120.0
III.,III.,III.,5. Tài sản thiếu chỗ xử lý,139,,815.053.153,50.895.744,,139.0,,815053153.0,50895744.0
IV.,IV.,IV.,Hàng tồn kho,140,10,1.645.375.601.834,1.291.226.206.958,,140.0,10.0,1645375601834.0,1291226206958.0
IV.,IV.,IV.,1. Hàng tồn kho,141,,1.737.552.213.440,1.379.598.862.461,,141.0,,1737552213440.0,1379598862461.0
IV.,IV.,IV.,2. Dự phòng giảm giá hàng tồn kho,149,,(92.176.611.606),(88.372.655.503),,149.0,,-92176611606.0,-88372655503.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,357.332.232.454,597.332.324.164,,150.0,,357332232454.0,597332324164.0
V.,V.,V.,1. Chi phí trả trước ngắn hạn,151,11,83.898.716.638,84.188.517.255,,151.0,11.0,83898716638.0,84188517255.0
V.,V.,V.,2. Thuế giá trị gia tăng được khấu trừ,152,,222.926.464.886,457.156.254.213,,152.0,,222926464886.0,457156254213.0
V.,V.,V.,3. Thuế và các khoản khác phải thu Nhà nước,153,20,50.507.050.930,55.987.552.696,,153.0,20.0,50507050930.0,55987552696.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,23.632.385.489.026,23.550.908.355.808,,200.0,,23632385489026.0,23550908355808.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,188.768.857.198,134.964.458.303,,210.0,,188768857198.0,134964458303.0
