row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tảivà thiết bị truyền dẫn,Thiết bịvăn phòng,Tài sảncố định khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tảivà thiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.098.393.894.183,5.629.261.293.180,788.559.235.858,258.822.884.936,30.501.109.101.735,43.276.146.409.892,6098393894183.0,5629261293180.0,788559235858.0,258822884936.0,30501109101735.0,43276146409892.0
Đầu tư xây dựng cơ bản hoànthành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoànthành,Đầu tư xây dựng cơ bản hoànthành,69.887.707.442,270.750.770.725,-,-,283.264.194.243,623.902.672.410,69887707442.0,270750770725.0,,,283264194243.0,623902672410.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,29.072.209.016,58.970.374.540,4.965.149.510,70.615.539.237,7.927.783.419,171.551.055.722,29072209016.0,58970374540.0,4965149510.0,70615539237.0,7927783419.0,171551055722.0
Chuyển sang từ Tài sản cố địnhthuê tài chính,NGUYÊN GIÁ > Chuyển sang từ Tài sản cố địnhthuê tài chính,Chuyển sang từ Tài sản cố địnhthuê tài chính,-,7.586.818.182,-,-,-,7.586.818.182,,7586818182.0,,,,7586818182.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(8.793.712.635),(1.127.881.012),(3.591.035.389),(759.587.740),(14.272.216.776),,-8793712635.0,-1127881012.0,-3591035389.0,-759587740.0,-14272216776.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,190.479.565.689,5.859.786.239,(25.333.885.631),467.877.273,(171.473.343.570),-,190479565689.0,5859786239.0,-25333885631.0,467877273.0,-171473343570.0,
Tăng/(Giảm) khác,NGUYÊN GIÁ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,(4.949.893.800),-,-,(1.829.735.417),(1.629.054.000),(8.408.683.217),-4949893800.0,,,-1829735417.0,-1629054000.0,-8408683217.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.382.883.482.530,5.963.635.330.231,767.062.618.725,324.485.530.640,30.618.439.094.087,44.056.506.056.213,6382883482530.0,5963635330231.0,767062618725.0,324485530640.0,30618439094087.0,44056506056213.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
