row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,52.212.785.813,-,11.072.572.050,-,52212785813.0,,11072572050.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",835.708.160.659,(92.176.611.606),736.959.528.005,(88.372.655.503),835708160659.0,-92176611606.0,736959528005.0,-88372655503.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",94.524.650.341,-,93.314.395.200,-,94524650341.0,,93314395200.0,
"Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang",30.716.264.166,-,34.541.186.067,-,30716264166.0,,34541186067.0,
Thành phẩm,Thành phẩm,Thành phẩm,107.932.775.176,-,83.733.001.948,-,107932775176.0,,83733001948.0,
Hàng hoá,Hàng hoá,Hàng hoá,616.446.178.855,-,419.967.808.619,-,616446178855.0,,419967808619.0,
Hàng gửi bán,Hàng gửi bán,Hàng gửi bán,11.398.430,-,10.370.572,-,11398430.0,,10370572.0,
Cộng,Cộng,Cộng,1.737.552.213.440,(92.176.611.606),1.379.598.862.461,(88.372.655.503),1737552213440.0,-92176611606.0,1379598862461.0,-88372655503.0
