row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,64.830.157.981.142,59.326.379.871.839,1.0,,64830157981142.0,59326379871839.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,307.717.004.908,250.186.696.178,2.0,,307717004908.0,250186696178.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,29,64.522.440.976.234,59.076.193.175.661,10.0,29.0,64522440976234.0,59076193175661.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,30,49.359.543.140.142,47.521.232.445.917,11.0,30.0,49359543140142.0,47521232445917.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,15.162.897.836.092,11.554.960.729.744,20.0,,15162897836092.0,11554960729744.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,31,1.272.001.039.845,1.136.087.785.475,21.0,31.0,1272001039845.0,1136087785475.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,32,429.584.038.709,494.200.815.972,22.0,32.0,429584038709.0,494200815972.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,280.095.523.887,359.758.790.896,23.0,,280095523887.0,359758790896.0
"8. Phần (lỗ)/lãi trong công ty liên doanh, liên kết","8. Phần (lỗ)/lãi trong công ty liên doanh, liên kết","8. Phần (lỗ)/lãi trong công ty liên doanh, liên kết",24,,(874.150.755),371.260.141,24.0,,-874150755.0,371260141.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,33,2.426.235.182.000,2.130.307.143.526,25.0,33.0,2426235182000.0,2130307143526.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,33,1.109.174.582.069,965.382.550.673,26.0,33.0,1109174582069.0,965382550673.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,12.469.030.922.404,9.101.529.265.189,30.0,,12469030922404.0,9101529265189.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,34,163.295.930.879,62.480.382.072,31.0,34.0,163295930879.0,62480382072.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,35,44.289.254.806,11.766.165.623,32.0,35.0,44289254806.0,11766165623.0
14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),40,,119.006.676.073,50.714.216.449,40.0,,119006676073.0,50714216449.0
15. Tổng lợi nhuận kê toán trước thuế (50=30+40),15. Tổng lợi nhuận kê toán trước thuế (50=30+40),15. Tổng lợi nhuận kê toán trước thuế (50=30+40),50,,12.588.037.598.477,9.152.243.481.638,50.0,,12588037598477.0,9152243481638.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,36,2.618.775.027.875,1.932.844.957.820,51.0,36.0,2618775027875.0,1932844957820.0
17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,31.470.022.129,46.988.793.631,52.0,,31470022129.0,46988793631.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,9.937.792.548.473,7.172.409.730.187,60.0,,9937792548473.0,7172409730187.0
18.1. Lợi nhuận sau thuế của Công ty mẹ,18.1. Lợi nhuận sau thuế của Công ty mẹ,18.1. Lợi nhuận sau thuế của Công ty mẹ,61,,9.684.863.896.268,7.020.153.134.342,61.0,,9684863896268.0,7020153134342.0
18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,252.928.652.205,152.256.595.845,62.0,,252928652205.0,152256595845.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,37,4.904,3.548,70.0,37.0,4904.0,3548.0
