row_label_raw,row_label_full,col_0,Kinh doanh khí và các sản phẩm khí,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí,Loại trừ nội bộ và điều chỉnh,Tổng cộng,numeric__Kinh doanh khí và các sản phẩm khí,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí,numeric__Loại trừ nội bộ và điều chỉnh,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,
Tổng doanh thu thuần,Doanh thu > Tổng doanh thu thuần,Tổng doanh thu thuần,75.524.896.645.756,107.169.523.818,(11.109.625.193.340),64.522.440.976.234,75524896645756.0,107169523818.0,-11109625193340.0,64522440976234.0
Doanh thu nội bộ,Doanh thu > Doanh thu nội bộ,Doanh thu nội bộ,11.109.625.193.340,-,(11.109.625.193.340),-,11109625193340.0,,-11109625193340.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,64.415.271.452.416,107.169.523.818,-,64.522.440.976.234,64415271452416.0,107169523818.0,,64522440976234.0
Chi phí kinh doanh,Doanh thu > Chi phí kinh doanh,Chi phí kinh doanh,63.729.656.179.830,304.947.173.324,(11.139.650.448.943),52.894.952.904.211,63729656179830.0,304947173324.0,-11139650448943.0,52894952904211.0
- Giá vốn hàng bán,Doanh thu > - Giá vốn hàng bán,- Giá vốn hàng bán,60.270.052.024.913,246.162.414.211,(11.156.671.298.982),49.359.543.140.142,60270052024913.0,246162414211.0,-11156671298982.0,49359543140142.0
- Chi phí bán hàng,Doanh thu > - Chi phí bán hàng,- Chi phí bán hàng,2.417.222.720.289,-,9.012.461.711,2.426.235.182.000,2417222720289.0,,9012461711.0,2426235182000.0
- Chi phí quản lý doanh nghiệp,Doanh thu > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,1.042.381.434.628,58.784.759.113,8.008.388.328,1.109.174.582.069,1042381434628.0,58784759113.0,8008388328.0,1109174582069.0
Kết quả hoạt động kinh doanh,Doanh thu > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,11.795.240.465.926,(197.777.649.506),30.025.255.603,11.627.488.072.023,11795240465926.0,-197777649506.0,30025255603.0,11627488072023.0
"Phần (lỗ) trong các công ty liên doanh, liên kết","Doanh thu > Phần (lỗ) trong các công ty liên doanh, liên kết","Phần (lỗ) trong các công ty liên doanh, liên kết","Phần (lỗ) trong các công ty liên doanh, liên kết","Phần (lỗ) trong các công ty liên doanh, liên kết","Phần (lỗ) trong các công ty liên doanh, liên kết",(874.150.755),,,,-874150755.0
Doanh thu hoạt động tài chính,Doanh thu > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,1.272.001.039.845,,,,1272001039845.0
Chi phí tài chính,Doanh thu > Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,429.584.038.709,,,,429584038709.0
Lợi nhuận khác,Doanh thu > Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,119.006.676.073,,,,119006676073.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Doanh thu > Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,12.588.037.598.477,,,,12588037598477.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,2.618.775.027.875,,,,2618775027875.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Doanh thu > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,31.470.022.129,,,,31470022129.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Doanh thu > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,9.937.792.548.473,,,,9937792548473.0
