row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,,,,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Số dư đầu năm,Số dư đầu năm,18.950.000.000.000,421.727.266,251.892.478.129,(40.111.223.937),11.513.442.679.453,134.945.065.666,10.251.053.322.087,1.827.418.833.439,42.889.062.882.103,18950000000000.0,421727266.0,251892478129.0,-40111223937.0,11513442679453.0,134945065666.0,10251053322087.0,1827418833439.0,42889062882103.0
Bố sung vốn chủ sở hữu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Bố sung vốn chủ sở hữu,Bố sung vốn chủ sở hữu,189.500.000.000,189.500.000.000,-,-,-,-,-,-,379.000.000.000,189500000000.0,189500000000.0,,,,,,,379000000000.0
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,7.020.153.134.342,152.256.595.845,7.172.409.730.187,,,,,,,7020153134342.0,152256595845.0,7172409730187.0
Trích lập các quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,1.737.273.299.433,,(1.737.273.299.433),-,-,,,,,1737273299433.0,,-1737273299433.0,,
Cổ đông không kiểm soát góp vốn vào công ty con,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Cổ đông không kiểm soát góp vốn vào công ty con,Cổ đông không kiểm soát góp vốn vào công ty con,-,-,-,-,-,-,-,49.000.000.000,49.000.000.000,,,,,,,,49000000000.0,49000000000.0
"Trích Quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(194.194.522.605),(45.502.520.657),(239.697.043.262),,,,,,,-194194522605.0,-45502520657.0,-239697043262.0
Chia cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(9.184.070.736.000),(198.908.862.694),(9.382.979.598.694),,,,,,,-9184070736000.0,-198908862694.0,-9382979598694.0
Kết chuyển số dư các quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Kết chuyển số dư các quỹ,Kết chuyển số dư các quỹ,-,-,-,-,128.657.747.553,(128.657.747.553),,-,-,,,,,128657747553.0,-128657747553.0,,,
Tăng/(Giảm) do thay đổi tỷ lệ sở hữu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Tăng/(Giảm) do thay đổi tỷ lệ sở hữu,Tăng/(Giảm) do thay đổi tỷ lệ sở hữu,-,-,3.353.508.638,-,25.563.936.110,-,3.107.698.071,(32.025.142.819),-,,,3353508638.0,,25563936110.0,,3107698071.0,-32025142819.0,
Thay đổi khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Thay đổi khác,Thay đổi khác,-,(175.000.000),605.969.497,-,(816.470),(68.113),(1.271.069.664),(22.107.107.357),(22.948.092.107),,-175000000.0,605969497.0,,-816470.0,-68113.0,-1271069664.0,-22107107357.0,-22948092107.0
Số dư cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016 > Số dư cuối năm,Số dư cuối năm,19.139.500.000.000,189.746.727.266,255.851.956.264,(40.111.223.937),13.404.936.846.079,6.287.250.000,6.157.504.526.798,1.730.131.795.757,40.843.847.878.227,19139500000000.0,189746727266.0,255851956264.0,-40111223937.0,13404936846079.0,6287250000.0,6157504526798.0,1730131795757.0,40843847878227.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,,,,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Số dư đầu năm,Số dư đầu năm,19.139.500.000.000,189.746.727.266,255.851.956.264,(40.111.223.937),13.404.936.846.079,6.287.250.000,6.157.504.526.798,1.730.131.795.757,40.843.847.878.227,19139500000000.0,189746727266.0,255851956264.0,-40111223937.0,13404936846079.0,6287250000.0,6157504526798.0,1730131795757.0,40843847878227.0
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,9.684.863.896.268,252.928.652.205,9.937.792.548.473,,,,,,,9684863896268.0,252928652205.0,9937792548473.0
Trích lập các quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,1.444.956.000.763,-,(1.444.956.000.763),-,-,,,,,1444956000763.0,,-1444956000763.0,,
"Trích Quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(226.885.514.467),(29.715.913.559),(256.601.428.026),,,,,,,-226885514467.0,-29715913559.0,-256601428026.0
Chia cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(7.079.387.859.000),(174.088.714.956),(7.253.476.573.956),,,,,,,-7079387859000.0,-174088714956.0,-7253476573956.0
Thay đổi khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Thay đổi khác,Thay đổi khác,-,-,(532.917.391),-,975.255,68.113,(2.107.099.041),2.585.313.157,(53.659.907),,,-532917391.0,,975255.0,68113.0,-2107099041.0,2585313157.0,-53659907.0
Số dư cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Số dư cuối năm,Số dư cuối năm,19.139.500.000.000,189.746.727.266,255.319.038.873,(40.111.223.937),14.849.893.822.097,6.287.318.113,7.089.031.949.795,1.781.841.132.604,43.271.508.764.811,19139500000000.0,189746727266.0,255319038873.0,-40111223937.0,14849893822097.0,6287318113.0,7089031949795.0,1781841132604.0,43271508764811.0
