row_label_raw,row_label_full,col_0,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năngtrà nợVND,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năngtrà nợVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năngtrà nợVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năngtrà nợVND
Công ty TNHH Một thành viên Lọc hóa đãuBình Sơn,Công ty TNHH Một thành viên Lọc hóa đãuBình Sơn,Công ty TNHH Một thành viên Lọc hóa đãuBình Sơn,608.550.054.778,608.550.054.778,683.919.727.236,683.919.727.236,608550054778.0,608550054778.0,683919727236.0,683919727236.0
Abu Dhabi National Oil Company (ADNOC),Abu Dhabi National Oil Company (ADNOC),Abu Dhabi National Oil Company (ADNOC),562.662.478.050,562.662.478.050,416.575.744.000,416.575.744.000,562662478050.0,562662478050.0,416575744000.0,416575744000.0
Liên doanh Việt - Nga VietsovPetro,Liên doanh Việt - Nga VietsovPetro,Liên doanh Việt - Nga VietsovPetro,228.292.614.176,228.292.614.176,118.744.701.248,118.744.701.248,228292614176.0,228292614176.0,118744701248.0,118744701248.0
Petredec International Pte Ltd,Petredec International Pte Ltd,Petredec International Pte Ltd,180.733.845.023,180.733.845.023,110.368.726.611,110.368.726.611,180733845023.0,180733845023.0,110368726611.0,110368726611.0
E1 Corporation,E1 Corporation,E1 Corporation,87.067.468.613,87.067.468.613,-,-,87067468613.0,87067468613.0,,
Tổng Công ty Cổ phần Dịch vụ Kỹ thuậtDầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuậtDầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuậtDầu khí Việt Nam,81.247.895.225,81.247.895.225,263.217.117.733,263.217.117.733,81247895225.0,81247895225.0,263217117733.0,263217117733.0
Công ty TNHH PTT International Trading,Công ty TNHH PTT International Trading,Công ty TNHH PTT International Trading,70.686.627.593,70.686.627.593,26.253.429.622,26.253.429.622,70686627593.0,70686627593.0,26253429622.0,26253429622.0
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,65.206.511.626,65.206.511.626,178.006.615.026,178.006.615.026,65206511626.0,65206511626.0,178006615026.0,178006615026.0
Astomos Energy Corporation,Astomos Energy Corporation,Astomos Energy Corporation,-,-,225.430.046.339,225.430.046.339,,,225430046339.0,225430046339.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,439.845.116.494,439.845.116.494,421.175.834.620,421.175.834.620,439845116494.0,439845116494.0,421175834620.0,421175834620.0
,,,2.324.292.611.578,2.324.292.611.578,2.443.691.942.435,2.443.691.942.435,2324292611578.0,2324292611578.0,2443691942435.0,2443691942435.0
Phải thu khách hàng là các bên liên quan (chi tiết trình bày tại Thuyết minh số 40),Phải thu khách hàng là các bên liên quan (chi tiết trình bày tại Thuyết minh số 40),Phải thu khách hàng là các bên liên quan (chi tiết trình bày tại Thuyết minh số 40),1.073.332.238.217,1.073.332.238.217,1.321.795.319.949,1.321.795.319.949,1073332238217.0,1073332238217.0,1321795319949.0,1321795319949.0
