row_label_raw,row_label_full,col_0,Quyền sử dụngđất vô thời hạn,Phân mềmmáy tính,TSCĐ vôhình khác,Tổng,numeric__Quyền sử dụngđất vô thời hạn,numeric__Phân mềmmáy tính,numeric__TSCĐ vôhình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,18.244,20.166,106,38.516,18244.0,20166.0,106.0,38516.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,-,9.936,144,10.080,,9936.0,144.0,10080.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,18.244,30.102,250,48.596,18244.0,30102.0,250.0,48596.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Tại ngày đầu năm,Giá trị hao mòn lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,-,(13.754),(106),(13.860),,-13754.0,-106.0,-13860.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,(2.852),(5),(2.857),,-2852.0,-5.0,-2857.0
Tại ngày cuối năm,Giá trị hao mòn lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,-,(16.606),(111),(16.717),,-16606.0,-111.0,-16717.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,18.244,6.412,-,24.656,18244.0,6412.0,,24656.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,18.244,13.496,139,31.879,18244.0,13496.0,139.0,31879.0
