row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,21,1.045.337,1.014.264,,21.0,1045337.0,1014264.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,22,(704.611),(781.618),,22.0,-704611.0,-781618.0
I.,I.,I.,Thu nhập lãi thuần,,340.726,232.646,,,340726.0,232646.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,166.700,154.234,,,166700.0,154234.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(15.005),(5.949),,,-15005.0,-5949.0
II.,II.,II.,Lãi thuần từ hoạt động dịch vụ,23,151.695,148.285,,23.0,151695.0,148285.0
III.,III.,III.,Lãi thuần từ hoạt động kinh doanh ngoại hôi,24,1.073,856,,24.0,1073.0,856.0
IV.,IV.,IV.,(Lỗ)/Lãi thuần từ mua bán chứng khoán kinh doanh,25,(1.000),121.729,,25.0,-1000.0,121729.0
V.,V.,V.,Lãi thuần từ mua bán chứng khoán đầu tư,26,8.823,28.699,,26.0,8823.0,28699.0
5.,5.,5.,Thu nhập từ hoạt động khác,,14.047,72.400,,,14047.0,72400.0
6.,6.,6.,Chi phí hoạt động khác,,(115),(114),,,-115.0,-114.0
VI.,VI.,VI.,Lãi thuần từ hoạt động khác,27,13.932,72.286,,27.0,13932.0,72286.0
VII.,VII.,VII.,"Thu nhập từ góp vốn, mua cổ phần",28,6.211,16.568,,28.0,6211.0,16568.0
VIII.,VIII.,VIII.,Chi phí hoạt động,29,(213.418),(89.904),,29.0,-213418.0,-89904.0
IX.,IX.,IX.,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,308.042,531.165,,,308042.0,531165.0
X.,X.,X.,Chi phí dự phòng rủi ro tín dụng,30,(53.828),(319.311),,30.0,-53828.0,-319311.0
XI.,XI.,XI.,Tổng lợi nhuận trước thuế,,254.214,211.854,,,254214.0,211854.0
XII.,XII.,XII.,Chi phí thuế TNDN,31,(50.638),(31.425),,31.0,-50638.0,-31425.0
XIII.,XIII.,XIII.,"Lợi, nhuận sau thuế",,203.576,180.429,,,203576.0,180429.0
XIV.,XIV.,XIV.,Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),20,814,686,,20.0,814.0,686.0
