row_label_raw,row_label_full,col_0,Giá trị ghi số(Không bao gồm dự phòng) > Số cuối nămTriệu VND,Giá trị ghi số(Không bao gồm dự phòng) > Số đầu nămTriệu VND,Giá trị hợp lý > Số cuối nămTriệu VND,Giá trị hợp lý > Số đầu nămTriệu VND,numeric__Giá trị ghi số(Không bao gồm dự phòng) > Số cuối nămTriệu VND,numeric__Giá trị ghi số(Không bao gồm dự phòng) > Số đầu nămTriệu VND,numeric__Giá trị hợp lý > Số cuối nămTriệu VND,numeric__Giá trị hợp lý > Số đầu nămTriệu VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản tài chính > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",11.282,2.340,11.282,2.340,11282.0,2340.0,11282.0,2340.0
Tiền gửi tại Ngân hàng Nhà nước (NHNN),Tài sản tài chính > Tiền gửi tại Ngân hàng Nhà nước (NHNN),Tiền gửi tại Ngân hàng Nhà nước (NHNN),1.024,97.117,1.024,97.117,1024.0,97117.0,1024.0,97117.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,2.815.863,3.524.180,(*),(*),2815863.0,3524180.0,,
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,58.926,(*),(*),,58926.0,,
Cho vay khách hàng,Tài sản tài chính > Cho vay khách hàng,Cho vay khách hàng,8.849.621,8.962.835,(*),(*),8849621.0,8962835.0,,
Chứng khoán đầu tư,Tài sản tài chính > Chứng khoán đầu tư,Chứng khoán đầu tư,7.308.406,5.493.208,(*),(*),7308406.0,5493208.0,,
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,110.952,101.152,(*),(*),110952.0,101152.0,,
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,1.020.300,1.141.871,(*),(*),1020300.0,1141871.0,,
"Các khoản lãi, phí phải thu","Tài sản tài chính > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",611.436,631.965,(*),(*),611436.0,631965.0,,
,,,20.728.884,20.013.594,,,20728884.0,20013594.0,,
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Tiền gửi và vay các TCTD khác,Công nợ tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,6.890.380,5.725.900,(*),(*),6890380.0,5725900.0,,
Tiền gửi của khách hàng,Công nợ tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,3.324.328,3.112.207,(*),(*),3324328.0,3112207.0,,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công nợ tài chính > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,8.811,(*),(*),,8811.0,,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",6.286.876,7.107.775,(*),(*),6286876.0,7107775.0,,
"Các khoản lãi, phí phải trả","Công nợ tài chính > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",215.107,162.709,(*),(*),215107.0,162709.0,,
Các khoản phải trả và công nợ khác,Công nợ tài chính > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,82.907,172.178,(*),(*),82907.0,172178.0,,
,,,16.799.598,16.289.580,,,16799598.0,16289580.0,,
