row_label_raw,row_label_full,col_0,Số dưđâu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Số dưcuối năm,numeric__Số dưđâu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Số dưcuối năm
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,18,442,(236),224,18.0,442.0,-236.0,224.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,7.419,50.638,(40.045),18.012,7419.0,50638.0,-40045.0,18012.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,9,9.889,(9.891),7,9.0,9889.0,-9891.0,7.0
,,,7.446,60.969,(50.172),18.243,7446.0,60969.0,-50172.0,18243.0
