row_label_raw,row_label_full,CHỈ TIÊU,EUR quy đổi > Triệu VND,USD quy đổi > Triệu VND,Các loại tiên tệ khác được quy đổi > Triệu VND,Tổng > Triệu VND,numeric__EUR quy đổi > Triệu VND,numeric__USD quy đổi > Triệu VND,numeric__Các loại tiên tệ khác được quy đổi > Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",107,127,-,234,107.0,127.0,,234.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,23,-,23,,23.0,,23.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),3.146,1.580.336,1.175,1.584.657,3146.0,1580336.0,1175.0,1584657.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),,4.198.146,-,4.198.146,,4198146.0,,4198146.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),124,144.847,1.132,146.103,124.0,144847.0,1132.0,146103.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.377,5.923.479,2.307,5.929.163,3377.0,5923479.0,2307.0,5929163.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,1.346.180,-,1.346.180,,1346180.0,,1346180.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,4.421.105,-,4.421.105,,4421105.0,,4421105.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,77.620,-,77.620,,77620.0,,77620.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,5.844.905,-,5.844.905,,5844905.0,,5844905.0
Trạng thái tiên tệ nội bảng,Nợ phải trả > Trạng thái tiên tệ nội bảng,Trạng thái tiên tệ nội bảng,3.377,78.574,2.307,84.258,3377.0,78574.0,2307.0,84258.0
