row_label_raw,row_label_full,col_0,Vốn điều lệ,Quỹ Đầu tư phát triển,Quỹ Dự phòng tài chính,Quỹ dự trữ bổ sung Vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,"Vốn đầu tư XDCB, mua sắm TSCĐ",Tổng cộng,numeric__Vốn điều lệ,numeric__Quỹ Đầu tư phát triển,numeric__Quỹ Dự phòng tài chính,numeric__Quỹ dự trữ bổ sung Vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,"numeric__Vốn đầu tư XDCB, mua sắm TSCĐ",numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.500.000,30.770,165.466,82.732,255.834,2.328,3.037.130,2500000.0,30770.0,165466.0,82732.0,255834.0,2328.0,3037130.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,,,,,,,
Lợi nhuận trong năm,Tăng trong năm > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,203.576,-,203.576,,,,,203576.0,,203576.0
Trích bổ sung các quỹ từ lợi nhuận năm trước,Tăng trong năm > Trích bổ sung các quỹ từ lợi nhuận năm trước,Trích bổ sung các quỹ từ lợi nhuận năm trước,-,-,18.043,9.022,-,-,27.065,,,18043.0,9022.0,,,27065.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,,,,,,,
Trích bổ sung các quỹ từ lợi nhuận năm trước,Giảm trong năm > Trích bổ sung các quỹ từ lợi nhuận năm trước,Trích bổ sung các quỹ từ lợi nhuận năm trước,-,-,-,-,(36.086),-,(36.086),,,,,-36086.0,,-36086.0
Số dư cuối năm,Giảm trong năm > Số dư cuối năm,Số dư cuối năm,2.500.000,30.770,183.509,91.754,423.324,2.328,3.231.685,2500000.0,30770.0,183509.0,91754.0,423324.0,2328.0,3231685.0
