row_label_raw,row_label_full,Bên liên quan,Quan hệ,numeric__Quan hệ
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Cổ đông sáng lập Công ty,
Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Ngân hàng TMCP An Bình,Cổ đông sáng lập Công ty,
Ban Tổng giám đốc,Ban Tổng giám đốc,Ban Tổng giám đốc,Có ảnh hưởng đáng kể,
"Thành viên Hội đồng quản trị, Ban kiểm soát","Thành viên Hội đồng quản trị, Ban kiểm soát","Thành viên Hội đồng quản trị, Ban kiểm soát",Có ảnh hưởng đáng kể,
