row_label_raw,row_label_full,Loại tài sản,Năm nay(Số năm),numeric__Năm nay(Số năm)
Phần mềm máy tính,Phần mềm máy tính,Phần mềm máy tính,03 - 08,
Tài sản cố định vô hình khác,Tài sản cố định vô hình khác,Tài sản cố định vô hình khác,02 - 20,
