row_label_raw,row_label_full,col_0,Số cuối nămTriệu VND,Số đầu nămTriệu VND,numeric__Số cuối nămTriệu VND,numeric__Số đầu nămTriệu VND
Phải thu từ các hợp đồng mua và bán lại,Phải thu từ các hợp đồng mua và bán lại,Phải thu từ các hợp đồng mua và bán lại,(25.191),(23.690),-25191.0,-23690.0
Lãi phải thu từ các hợp đồng mua và bán lại,Lãi phải thu từ các hợp đồng mua và bán lại,Lãi phải thu từ các hợp đồng mua và bán lại,(13.099),(13.099),-13099.0,-13099.0
Các khoản hợp tác đầu tư,Các khoản hợp tác đầu tư,Các khoản hợp tác đầu tư,(108.136),(108.048),-108136.0,-108048.0
Lãi phải thu từ các khoản hợp tác đầu tư,Lãi phải thu từ các khoản hợp tác đầu tư,Lãi phải thu từ các khoản hợp tác đầu tư,(4.241),(4.241),-4241.0,-4241.0
Khoản trả chậm ủy thác đầu tư,Khoản trả chậm ủy thác đầu tư,Khoản trả chậm ủy thác đầu tư,(53.128),(68.387),-53128.0,-68387.0
Lãi phải thu từ khoản trả chậm ủy thác đầu tư,Lãi phải thu từ khoản trả chậm ủy thác đầu tư,Lãi phải thu từ khoản trả chậm ủy thác đầu tư,(282),(360),-282.0,-360.0
Phải thu từ các khoản mua bán chứng khoán,Phải thu từ các khoản mua bán chứng khoán,Phải thu từ các khoản mua bán chứng khoán,(121.585),(102.890),-121585.0,-102890.0
Lãi tiễn gửi phải thu Công ty cho thuê tài chính II - Agribank,Lãi tiễn gửi phải thu Công ty cho thuê tài chính II - Agribank,Lãi tiễn gửi phải thu Công ty cho thuê tài chính II - Agribank,,(31.027),,-31027.0
Khoản khác,Khoản khác,Khoản khác,(1.296),(4.338),-1296.0,-4338.0
,,,(326.958),(356.080),-326958.0,-356080.0
