row_label_raw,row_label_full,Kinh doanh,Giữ đếnngày đáo han,Cho vay và các khoản phải thu,Sẵn sàngđể bán,Tổng công,numeric__Giữ đếnngày đáo han,numeric__Cho vay và các khoản phải thu,numeric__Sẵn sàngđể bán,numeric__Tổng công
Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
11.282,Triệu VND > 11.282,11.282,-,-,-,11.282,,,,11282.0
-,Triệu VND > -,-,-,1.024,-,1.024,,1024.0,,1024.0
-,Triệu VND > -,-,-,2.815.863,-,2.815.863,,2815863.0,,2815863.0
-,-,-,-,-,-,-,,,,
-,- > -,-,-,8.849.621,-,8.849.621,,8849621.0,,8849621.0
-,- > -,-,400.464,-,6.907.942,7.308.406,400464.0,,6907942.0,7308406.0
-,- > -,-,-,-,110.952,110.952,,,110952.0,110952.0
-,- > -,-,-,1.020.300,-,1.020.300,,1020300.0,,1020300.0
-,- > -,-,-,611.436,-,611.436,,611436.0,,611436.0
11.282,- > 11.282,11.282,400.464,13.298.244,7.018.894,20.728.884,400464.0,13298244.0,7018894.0,20728884.0
