row_label_raw,row_label_full,col_0,Dự phònggiảm giá,Dự phòngchung,Dự phòngcụ thể,Tổng công,numeric__Dự phònggiảm giá,numeric__Dự phòngchung,numeric__Dự phòngcụ thể,numeric__Tổng công
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,(38.427),(27.749),-,(66.176),-38427.0,-27749.0,,-66176.0
Dự phòng trích lập trongnăm (Thuyết minh số 26),Dự phòng trích lập trongnăm (Thuyết minh số 26),Dự phòng trích lập trongnăm (Thuyết minh số 26),(5.054),(11.176),-,(16.230),-5054.0,-11176.0,,-16230.0
Phân loại lại,Phân loại lại,Phân loại lại,(18.725),-,-,(18.725),-18725.0,,,-18725.0
Số cuối năm,Số cuối năm,Số cuối năm,(62.206),(38.925),-,(101.131),-62206.0,-38925.0,,-101131.0
,,,Dự phònggiảm giá,Dự phòngchung,Dự phòngcụ thể,Tổng công,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,(2.200),(23.844),(64.347),(90.391),-2200.0,-23844.0,-64347.0,-90391.0
Dự phòng trích lập trongnăm (Thuyết minh số 26),Dự phòng trích lập trongnăm (Thuyết minh số 26),Dự phòng trích lập trongnăm (Thuyết minh số 26),(36.131),(3.905),(29.520),(69.556),-36131.0,-3905.0,-29520.0,-69556.0
Sử dụng dự phòng,Sử dụng dự phòng,Sử dụng dự phòng,-,-,93.867,93.867,,,93867.0,93867.0
Phân loại lại,Phân loại lại,Phân loại lại,(96),-,,(96),-96.0,,,-96.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,(38.427),(27.749),-,(66.176),-38427.0,-27749.0,,-66176.0
