row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải,Thiết bị dụng cụ quản lý,Tài sản cố định hữu hình khác,Tổng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định hữu hình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,8.280,13.706,23.891,12.099,1.676,59.652,8280.0,13706.0,23891.0,12099.0,1676.0,59652.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,-,27.612,-,8.920,-,36.532,,27612.0,,8920.0,,36532.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,8.280,41.318,23.891,21.019,1.676,96.184,8280.0,41318.0,23891.0,21019.0,1676.0,96184.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Tại ngày đầu năm,Giá trị hao mòn lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,(469),(9.718),(17.906),(7.354),(847),(36.294),-469.0,-9718.0,-17906.0,-7354.0,-847.0,-36294.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,(331),(4.222),(1.737),(3.510),(403),(10.203),-331.0,-4222.0,-1737.0,-3510.0,-403.0,-10203.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,6,-,8,-,14,,6.0,,8.0,,14.0
Tại ngày cuối năm,Giá trị hao mòn lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,(800),(13.934),(19.643),(10.856),(1.250),(46.483),-800.0,-13934.0,-19643.0,-10856.0,-1250.0,-46483.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,7.811,3.988,5.985,4.745,829,23.358,7811.0,3988.0,5985.0,4745.0,829.0,23358.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,7.480,27.384,4.248,10.163,426,49.701,7480.0,27384.0,4248.0,10163.0,426.0,49701.0
