row_label_raw,row_label_full,col_0,Năm nayTriệu VND,Năm trướcTriệu VND,numeric__Năm nayTriệu VND,numeric__Năm trướcTriệu VND
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,254.214,211.854,254214.0,211854.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,,,
Trừ:,Các khoản điều chỉnh: > Trừ:,Trừ:,(6.211),(57.212),-6211.0,-57212.0
- Thu nhập từ cổ tức và lợi nhuận được chia không chịu thuế,Các khoản điều chỉnh: > - Thu nhập từ cổ tức và lợi nhuận được chia không chịu thuế,- Thu nhập từ cổ tức và lợi nhuận được chia không chịu thuế,(6.211),(16.568),-6211.0,-16568.0
- Lỗ chênh lệch tỷ giá chưa thực hiện cuối năm trước thực hiện trong năm nay,Các khoản điều chỉnh: > - Lỗ chênh lệch tỷ giá chưa thực hiện cuối năm trước thực hiện trong năm nay,- Lỗ chênh lệch tỷ giá chưa thực hiện cuối năm trước thực hiện trong năm nay,,(40.623),,-40623.0
- Lãi chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ tại thời điểm cuối năm,Các khoản điều chỉnh: > - Lãi chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ tại thời điểm cuối năm,- Lãi chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ tại thời điểm cuối năm,,(21),,-21.0
Cộng:,Các khoản điều chỉnh: > Cộng:,Cộng:,2.060,2.455,2060.0,2455.0
- Chi phí không được khấu trừ,Các khoản điều chỉnh: > - Chi phí không được khấu trừ,- Chi phí không được khấu trừ,1.864,2.455,1864.0,2455.0
"- Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ, có nguồn gốc ngoại tệ tại thời điểm cuối năm","Các khoản điều chỉnh: > - Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ, có nguồn gốc ngoại tệ tại thời điểm cuối năm","- Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ, có nguồn gốc ngoại tệ tại thời điểm cuối năm",175,,175.0,
- Lãi chênh lệch tỷ giá chưa thực hiện cuối năm trước thực hiện trong năm nay,Các khoản điều chỉnh: > - Lãi chênh lệch tỷ giá chưa thực hiện cuối năm trước thực hiện trong năm nay,- Lãi chênh lệch tỷ giá chưa thực hiện cuối năm trước thực hiện trong năm nay,21,,21.0,
Thu nhập chịu thuế,Các khoản điều chỉnh: > Thu nhập chịu thuế,Thu nhập chịu thuế,250.063,157.097,250063.0,157097.0
Thuế suất thuế TNDN,Các khoản điều chỉnh: > Thuế suất thuế TNDN,Thuế suất thuế TNDN,20%,20%,0.2,0.2
Chi phí thuế TNDN tính trên thu nhập chịu thuế,Các khoản điều chỉnh: > Chi phí thuế TNDN tính trên thu nhập chịu thuế,Chi phí thuế TNDN tính trên thu nhập chịu thuế,50.013,31.420,50013.0,31420.0
Điều chỉnh chi phí thuế TNDN của các năm trước vào năm nay,Các khoản điều chỉnh: > Điều chỉnh chi phí thuế TNDN của các năm trước vào năm nay,Điều chỉnh chi phí thuế TNDN của các năm trước vào năm nay,625,5,625.0,5.0
Tổng chi phí thuế TNDN,Các khoản điều chỉnh: > Tổng chi phí thuế TNDN,Tổng chi phí thuế TNDN,50.638,31.425,50638.0,31425.0
- Thuế TNDN phải nộp đầu năm,Các khoản điều chỉnh: > - Thuế TNDN phải nộp đầu năm,- Thuế TNDN phải nộp đầu năm,7.419,23.532,7419.0,23532.0
- Thuế TNDN đã nộp trong năm,Các khoản điều chỉnh: > - Thuế TNDN đã nộp trong năm,- Thuế TNDN đã nộp trong năm,(40.045),(47.538),-40045.0,-47538.0
Thuế TNDN còn phải nộp cuối năm,Các khoản điều chỉnh: > Thuế TNDN còn phải nộp cuối năm,Thuế TNDN còn phải nộp cuối năm,18.012,7.419,18012.0,7419.0
