row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị VND,31/12/2024 > Dự phòng VND,01/01/2024 > Giá trị VND,01/01/2024 > Dự phòng VND,numeric__31/12/2024 > Giá trị VND,numeric__31/12/2024 > Dự phòng VND,numeric__01/01/2024 > Giá trị VND,numeric__01/01/2024 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,769.368.218.015,-,1.778.869.624.304,-,769368218015.0,,1778869624304.0,
Trả trước cho người bán là bên liên quan(Chỉ tiết theo thuyết minh số 39.1),Trả trước cho người bán là bên liên quan(Chỉ tiết theo thuyết minh số 39.1),Trả trước cho người bán là bên liên quan(Chỉ tiết theo thuyết minh số 39.1),226.403.207.210,-,423.945.852.381,-,226403207210.0,,423945852381.0,
Trả trước cho người bán là bên thứ ba,Trả trước cho người bán là bên thứ ba,Trả trước cho người bán là bên thứ ba,542.965.010.805,-,1.354.923.771.923,-,542965010805.0,,1354923771923.0,
Công ty Cổ phần Angelica Aviation Capital Việt Nam,Công ty Cổ phần Angelica Aviation Capital Việt Nam,Công ty Cổ phần Angelica Aviation Capital Việt Nam,-,-,788.000.000.000,-,,,788000000000.0,
Khác,Khác,Khác,542.965.010.805,-,566.923.771.923,-,542965010805.0,,566923771923.0,
Dài hạn,Dài hạn,Dài hạn,5.537.440.074.689,-,6.115.740.351.363,-,5537440074689.0,,6115740351363.0,
Trả trước cho người bán là bên liên quan (*) (Chỉ tiết theo thuyết minh số 39.1),Trả trước cho người bán là bên liên quan (*) (Chỉ tiết theo thuyết minh số 39.1),Trả trước cho người bán là bên liên quan (*) (Chỉ tiết theo thuyết minh số 39.1),2.732.400.000.000,-,-,-,2732400000000.0,,,
Trả trước cho người bán là bên thứ ba,Trả trước cho người bán là bên thứ ba,Trả trước cho người bán là bên thứ ba,2.805.040.074.689,-,6.115.740.351.363,-,2805040074689.0,,6115740351363.0,
"Hangzhou Baoli Air Agency Co., Ltd (*)","Hangzhou Baoli Air Agency Co., Ltd (*)","Hangzhou Baoli Air Agency Co., Ltd (*)",2.805.040.074.689,-,1.041.401.052.045,-,2805040074689.0,,1041401052045.0,
"Yuejie (Hangzhou) Freight Forwarding Co., Ltd","Yuejie (Hangzhou) Freight Forwarding Co., Ltd","Yuejie (Hangzhou) Freight Forwarding Co., Ltd",-,-,5.074.339.299.318,-,,,5074339299318.0,
,,,6.306.808.292.704,-,7.894.609.975.667,-,6306808292704.0,,7894609975667.0,
