row_label_raw,row_label_full,col_0,Phần mềmmáy vi tínhVND,numeric__Phần mềmmáy vi tínhVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
01/01/2024,NGUYÊN GIÁ > 01/01/2024,01/01/2024,88.711.024.773,88711024773.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,19.912.017.354,19912017354.0
31/12/2024,NGUYÊN GIÁ > 31/12/2024,31/12/2024,108.623.042.127,108623042127.0
GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,
01/01/2024,GIÁ TRỊ HAO MÔN > 01/01/2024,01/01/2024,(41.410.834.674),-41410834674.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN > Khấu hao trong năm,Khấu hao trong năm,(11.523.422.236),-11523422236.0
31/12/2024,GIÁ TRỊ HAO MÔN > 31/12/2024,31/12/2024,(52.934.256.910),-52934256910.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
01/01/2024,GIÁ TRỊ CÒN LẠI > 01/01/2024,01/01/2024,47.300.190.099,47300190099.0
31/12/2024,GIÁ TRỊ CÒN LẠI > 31/12/2024,31/12/2024,55.688.785.217,55688785217.0
