row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị VND,31/12/2024 > Dự phòng VND,01/01/2024 > Giá trị VND,01/01/2024 > Dự phòng VND,numeric__31/12/2024 > Giá trị VND,numeric__31/12/2024 > Dự phòng VND,numeric__01/01/2024 > Giá trị VND,numeric__01/01/2024 > Dự phòng VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,11.364.962.887.070,(148.586.841.900),12.316.753.791.172,-,11364962887070.0,-148586841900.0,12316753791172.0,
Phải thu khách hàng là các bên liên quan,Phải thu khách hàng là các bên liên quan,Phải thu khách hàng là các bên liên quan,7.573.732.574.564,-,7.689.110.173.292,-,7573732574564.0,,7689110173292.0,
Chi tiết tại Thuyết minh số 39.1,Chi tiết tại Thuyết minh số 39.1,Chi tiết tại Thuyết minh số 39.1,,,,,,,,
Phải thu khách hàng là bên thứ ba,Chi tiết tại Thuyết minh số 39.1 > Phải thu khách hàng là bên thứ ba,Phải thu khách hàng là bên thứ ba,3.791.230.312.506,(148.586.841.900),4.627.643.617.880,-,3791230312506.0,-148586841900.0,4627643617880.0,
Fadle Chem Private Limited,Chi tiết tại Thuyết minh số 39.1 > Fadle Chem Private Limited,Fadle Chem Private Limited,1.448.542.543.800,(148.586.841.900),1.427.843.746.050,-,1448542543800.0,-148586841900.0,1427843746050.0,
Yuejie (Hangzhou) Freight Forwarding Company Limited,Chi tiết tại Thuyết minh số 39.1 > Yuejie (Hangzhou) Freight Forwarding Company Limited,Yuejie (Hangzhou) Freight Forwarding Company Limited,-,-,1.191.757.300.000,-,,,1191757300000.0,
"Hangzhou Baoli Air Agency Co., Ltd","Chi tiết tại Thuyết minh số 39.1 > Hangzhou Baoli Air Agency Co., Ltd","Hangzhou Baoli Air Agency Co., Ltd",1.446.270.576.642,-,852.537.099.656,-,1446270576642.0,,852537099656.0,
Khác,Chi tiết tại Thuyết minh số 39.1 > Khác,Khác,896.417.192.064,-,1.155.505.472.174,-,896417192064.0,,1155505472174.0,
Dài hạn,Chi tiết tại Thuyết minh số 39.1 > Dài hạn,Dài hạn,4.648.331.762.954,-,1.942.095.121.864,-,4648331762954.0,,1942095121864.0,
Phải thu khách hàng là các bên liên quan,Chi tiết tại Thuyết minh số 39.1 > Phải thu khách hàng là các bên liên quan,Phải thu khách hàng là các bên liên quan,4.648.331.762.954,-,1.942.095.121.864,-,4648331762954.0,,1942095121864.0,
Chi tiết tại Thuyết minh số 39.1,Chi tiết tại Thuyết minh số 39.1,Chi tiết tại Thuyết minh số 39.1,,,,,,,,
,,,16.013.294.650.024,(148.586.841.900),14.258.848.913.036,-,16013294650024.0,-148586841900.0,14258848913036.0,
