row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2024 VND,Năm 2023 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2024 VND,numeric__Năm 2023 VND
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
Lợi nhuận trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,1.822.616.876.699,606.103.607.021,1.0,,1822616876699.0,606103607021.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,
Khẩu hao TSCĐ,Điều chỉnh cho các khoản > Khẩu hao TSCĐ,Khẩu hao TSCĐ,02,,613.292.961.764,413.253.679.639,2.0,,613292961764.0,413253679639.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,,1.063.193.861.899,3.711.543.636.438,3.0,,1063193861899.0,3711543636438.0
(Lãi)các khoản chênh lệch tỷ giáhối doái do đánh giá lại các khoảnmục tiên tệ có gốc ngoại tệ,Điều chỉnh cho các khoản > (Lãi)các khoản chênh lệch tỷ giáhối doái do đánh giá lại các khoảnmục tiên tệ có gốc ngoại tệ,(Lãi)các khoản chênh lệch tỷ giáhối doái do đánh giá lại các khoảnmục tiên tệ có gốc ngoại tệ,04,,(510.288.540.912),(59.094.506.815),4.0,,-510288540912.0,-59094506815.0
Lãi hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi hoạt động đầu tư,Lãi hoạt động đầu tư,05,,(762.045.259.263),(876.478.926.895),5.0,,-762045259263.0,-876478926895.0
Chỉ phí lãi vay,Điều chỉnh cho các khoản > Chỉ phí lãi vay,Chỉ phí lãi vay,06,,3.211.952.994.975,1.950.254.195.864,6.0,,3211952994975.0,1950254195864.0
Lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu động,08,,5.438.722.895.162,5.745.581.685.252,8.0,,5438722895162.0,5745581685252.0
Giảm/(Tăng) giảm các khoảnphải thu,Điều chỉnh cho các khoản > Giảm/(Tăng) giảm các khoảnphải thu,Giảm/(Tăng) giảm các khoảnphải thu,09,,2.689.195.758.963,(5.993.691.136.973),9.0,,2689195758963.0,-5993691136973.0
(Tăng)/Giảm giảm hàng tồn kho,Điều chỉnh cho các khoản > (Tăng)/Giảm giảm hàng tồn kho,(Tăng)/Giảm giảm hàng tồn kho,10,,(1.302.051.216.979),279.331.528.411,10.0,,-1302051216979.0,279331528411.0
(Giảm)/Tăng các khoản phải trả(không kể lãi vay phải trả thuế thunhập doanh nghiệp phải nộp),Điều chỉnh cho các khoản > (Giảm)/Tăng các khoản phải trả(không kể lãi vay phải trả thuế thunhập doanh nghiệp phải nộp),(Giảm)/Tăng các khoản phải trả(không kể lãi vay phải trả thuế thunhập doanh nghiệp phải nộp),11,,(4.511.473.565.195),639.223.032.704,11.0,,-4511473565195.0,639223032704.0
(Tăng) chi phí trả trước,Điều chỉnh cho các khoản > (Tăng) chi phí trả trước,(Tăng) chi phí trả trước,12,,(792.677.623.135),(2.639.461.061.745),12.0,,-792677623135.0,-2639461061745.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(3.203.138.049.663),(2.133.310.794.200),14.0,,-3203138049663.0,-2133310794200.0
Thuế thu nhập doanh nghiệpđã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệpđã nộp,Thuế thu nhập doanh nghiệpđã nộp,15,,(570.964.920),(3.508.148.950),15.0,,-570964920.0,-3508148950.0
Tiền chi khác từ hoạt độngkinh doanh,Điều chỉnh cho các khoản > Tiền chi khác từ hoạt độngkinh doanh,Tiền chi khác từ hoạt độngkinh doanh,17,,(130.000.000),(140.802.046.115),17.0,,-130000000.0,-140802046115.0
Lưu chuyển tiền thuần từ hoạtđộng kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạtđộng kinh doanh,Lưu chuyển tiền thuần từ hoạtđộng kinh doanh,20,,(1.682.122.765.767),(4.246.636.941.616),20.0,,-1682122765767.0,-4246636941616.0
Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,
Tiền chỉ để mua sắm xây dựngTSCĐ và các tài sản dài hạn khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền chỉ để mua sắm xây dựngTSCĐ và các tài sản dài hạn khác,Tiền chỉ để mua sắm xây dựngTSCĐ và các tài sản dài hạn khác,21,,(8.786.533.082.262),(1.425.811.924.197),21.0,,-8786533082262.0,-1425811924197.0
Tiền thu thanh lý nhượng bánTSCĐ và các tài sản dài hạn khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu thanh lý nhượng bánTSCĐ và các tài sản dài hạn khác,Tiền thu thanh lý nhượng bánTSCĐ và các tài sản dài hạn khác,22,,859.025.556.874,2.023.818.105.897,22.0,,859025556874.0,2023818105897.0
Tiền chỉ cho vay mua các công cụnợ của đơn vị khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền chỉ cho vay mua các công cụnợ của đơn vị khác,Tiền chỉ cho vay mua các công cụnợ của đơn vị khác,23,,(4.922.958.871.249),(2.186.560.400.000),23.0,,-4922958871249.0,-2186560400000.0
Tiền thu hồi cho vay bán lại cáccông cụ nợ của đơn vị khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu hồi cho vay bán lại cáccông cụ nợ của đơn vị khác,Tiền thu hồi cho vay bán lại cáccông cụ nợ của đơn vị khác,24,,1.810.119.331.230,277.981.550.000,24.0,,1810119331230.0,277981550000.0
Tiền thu lãi vay cổ tức và lợi nhuậnđược chia,Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu lãi vay cổ tức và lợi nhuậnđược chia,Tiền thu lãi vay cổ tức và lợi nhuậnđược chia,27,,224.132.855.494,353.865.999.244,27.0,,224132855494.0,353865999244.0
Lưu chuyển tiền thuần từhoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư > Lưu chuyển tiền thuần từhoạt động đầu tư,Lưu chuyển tiền thuần từhoạt động đầu tư,30,,(10.816.214.209.913),(956.706.669.056),30.0,,-10816214209913.0,-956706669056.0
