row_label_raw,row_label_full,STT,Tên Công ty,Hoạt động chính,Giấy chứng nhận đăng ký doanh nghiệp,"Noi thành lập, đăng ký hoạt động",31/12/2024,31/12/2024_1,01/01/2024,01/01/2024_1,numeric__Tên Công ty,numeric__Hoạt động chính,numeric__Giấy chứng nhận đăng ký doanh nghiệp,"numeric__Noi thành lập, đăng ký hoạt động",numeric__31/12/2024,numeric__31/12/2024_1,numeric__01/01/2024,numeric__01/01/2024_1
STT,STT,STT,Tên Công ty,Hoạt động chính,Giấy chứng nhận đăng ký doanh nghiệp,"Noi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ sở hữu (%),Tỷ lệ quyền biểu quyết (%),,,,,,,,
I.,I.,I.,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,,,,,,
1,I. > 1,1,Vietjet Air IVB No. I Limited,Kinh doanh và cho thuê tàu bay và các bộ phận tàu bay,Số 1825671ngày 27 tháng 5 năm 2014,British Virgin Islands,100,100,100,100,,,,,100.0,100.0,100.0,100.0
2,I. > 2,2,Vietjet Air IVB No. II Limited,Kinh doanh và cho thuê tàu bay,Số 1825613ngày 27 tháng 5 năm 2014,British Virgin Islands,100,100,100,100,,,,,100.0,100.0,100.0,100.0
3,I. > 3,3,Vietjet Air Singapore Pte. Ltd.,Kinh doanh tàu bay,Số 201408849Nngày 27 tháng 3 năm 2014,Singapore,100,100,100,100,,,,,100.0,100.0,100.0,100.0
4,I. > 4,4,Vietjet Air Ireland No. 1 Limited,Kinh doanh và cho thuê tàu bay,Số 544879ngày 3 tháng 6 năm 2014,Ireland,100,100,100,100,,,,,100.0,100.0,100.0,100.0
5,I. > 5,5,Công ty TNHH Galaxy Pay,"Cung cấp dịch vụ thanh toán (thanh toán trực tuyến, ví điện tử)",Số 0316368255ngày 10 tháng 4 năm 2024,Việt Nam,100,100,100,100,,,,,100.0,100.0,100.0,100.0
6,I. > 6,6,Công ty cổ phần Swift 247,"Hoạt động, dịch vụ hỗ trợ khác liên quan đến vận tải",Số 0315524536ngày 27 tháng 11 năm 2023,Việt Nam,67,67,67,67,,,,,67.0,67.0,67.0,67.0
7,I. > 7,7,Công ty TNHH MTV Phục vụ Mặt đất Vietjet,Cung cấp các dịch vụ hỗ trợ trực tiếp cho ngành vận chuyển hàng không,Số 0109783334ngày 19 tháng 10 năm 2021,Việt Nam,100,100,100,100,,,,,100.0,100.0,100.0,100.0
