row_label_raw,row_label_full,col_0,Nguyên tệ,Thời gianđáo hạn,31/12/2024VND,01/01/2024VND,numeric__Nguyên tệ,numeric__Thời gianđáo hạn,numeric__31/12/2024VND,numeric__01/01/2024VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,1.633.712.453.293,457.000.000.000,,,1633712453293.0,457000000000.0
Công ty Cổ phần Trường Sơn Plaza (i),Công ty Cổ phần Trường Sơn Plaza (i),Công ty Cổ phần Trường Sơn Plaza (i),VND,2025,338.710.531.793,457.000.000.000,,2025.0,338710531793.0,457000000000.0
Công ty Cổ Phần Menas Trường Sơn (i),Công ty Cổ Phần Menas Trường Sơn (i),Công ty Cổ Phần Menas Trường Sơn (i),VND,2025,517.400.000.000,-,,2025.0,517400000000.0,
Công ty Cổ phần Angelica Aviation Capital Việt Nam (i),Công ty Cổ phần Angelica Aviation Capital Việt Nam (i),Công ty Cổ phần Angelica Aviation Capital Việt Nam (i),VND,2025,604.250.000.000,-,,2025.0,604250000000.0,
Khác,Khác,Khác,VND,2025,173.351.921.500,-,,2025.0,173351921500.0,
Dải hạn,Dải hạn,Dải hạn,,,921.644.963.530,874.767.806.179,,,921644963530.0,874767806179.0
AAA Aircraft Asset Company Limited (ii),AAA Aircraft Asset Company Limited (ii),AAA Aircraft Asset Company Limited (ii),USD,2029,543.990.480.000,518.403.576.000,,2029.0,543990480000.0,518403576000.0
Apricot Aircarft No.1 Limited (iii),Apricot Aircarft No.1 Limited (iii),Apricot Aircarft No.1 Limited (iii),USD,2033,327.654.483.530,301.218.308.679,,2033.0,327654483530.0,301218308679.0
Khác (iv),Khác (iv),Khác (iv),VND,2027,50.000.000.000,55.145.921.500,,2027.0,50000000000.0,55145921500.0
,,,,,2.555.357.416.823,1.331.767.806.179,,,2555357416823.0,1331767806179.0
Trong đó: Phải thu về cho vay là bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu về cho vay là bên liên quan(chỉ tiết tại Thuyết minh số 39.1),Trong đó: Phải thu về cho vay là bên liên quan(chỉ tiết tại Thuyết minh số 39.1),,,921.644.963.530,869.621.884.679,,,921644963530.0,869621884679.0
