row_label_raw,row_label_full,Bên cho vay,Loại tiền,Thời gian đáo hạn,31/12/2024 VND,01/01/2024 VND,numeric__Loại tiền,numeric__Thời gian đáo hạn,numeric__31/12/2024 VND,numeric__01/01/2024 VND
Các khoản vay có Tài sản đảm bảo (*),Các khoản vay có Tài sản đảm bảo (*),Các khoản vay có Tài sản đảm bảo (*),Các khoản vay có Tài sản đảm bảo (*),Các khoản vay có Tài sản đảm bảo (*),Các khoản vay có Tài sản đảm bảo (*),Các khoản vay có Tài sản đảm bảo (*),,,,
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Các khoản vay có Tài sản đảm bảo (*) > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,USD,Tháng 6 năm 2025,1.415.720.856.463,2.674.887.113.824,,,1415720856463.0,2674887113824.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Các khoản vay có Tài sản đảm bảo (*) > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,VND,Tháng 6 năm 2025,1.465.577.026.396,625.538.399.077,,,1465577026396.0,625538399077.0
Các khoản vay không có Tài sản đảm bảo (**),Các khoản vay không có Tài sản đảm bảo (**),Các khoản vay không có Tài sản đảm bảo (**),Các khoản vay không có Tài sản đảm bảo (**),Các khoản vay không có Tài sản đảm bảo (**),Các khoản vay không có Tài sản đảm bảo (**),Các khoản vay không có Tài sản đảm bảo (**),,,,
Ngân hàng TMCP Công thương Việt Nam,Các khoản vay không có Tài sản đảm bảo (**) > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,Tháng 1 đến tháng 3 năm 2025,2.559.902.533.467,1.159.674.562.979,,,2559902533467.0,1159674562979.0
Ngân hàng TMCP Quân Đội,Các khoản vay không có Tài sản đảm bảo (**) > Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,VND,Tháng 3 đến tháng 6 năm 2025,2.511.371.998.427,2.058.001.325.721,,,2511371998427.0,2058001325721.0
"Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh TP Hồ Chí Minh","Các khoản vay không có Tài sản đảm bảo (**) > Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh TP Hồ Chí Minh","Ngân hàng TNHH Một thành viên Woori Việt Nam, Chi nhánh TP Hồ Chí Minh",VND,Tháng 1 năm 2025,649.984.161.979,650.000.000.000,,,649984161979.0,650000000000.0
Ngân hàng TMCP Hàng hải Việt Nam,Các khoản vay không có Tài sản đảm bảo (**) > Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,VND,Tháng 2 đến tháng 5 năm 2025,1.973.876.211.809,899.060.278.181,,,1973876211809.0,899060278181.0
Ngân Hàng HSBC Việt Nam,Các khoản vay không có Tài sản đảm bảo (**) > Ngân Hàng HSBC Việt Nam,Ngân Hàng HSBC Việt Nam,VND,Tháng 1 năm 2025,66.012.334.054,65.767.373.799,,,66012334054.0,65767373799.0
Ngân hàng TMCP Quốc tế Việt Nam,Các khoản vay không có Tài sản đảm bảo (**) > Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,VND,Tháng 1 đến tháng 6 năm 2025,1.029.971.666.316,-,,,1029971666316.0,
,,,,,11.672.416.788.911,8.132.929.053.581,,,11672416788911.0,8132929053581.0
