row_label_raw,row_label_full,col_0,Chi phí bảo dưỡngtàu bay trả trước,Chi phí hoàn trảtài sản thuê,"Chi phí kiểm tra,sửa chữa tàu bay","Phụ tùng,công cụvà dụng cụ",Chi phí thuê tàubay hoãn lại,Khác,Cộng,numeric__Chi phí bảo dưỡngtàu bay trả trước,numeric__Chi phí hoàn trảtài sản thuê,"numeric__Chi phí kiểm tra,sửa chữa tàu bay","numeric__Phụ tùng,công cụvà dụng cụ",numeric__Chi phí thuê tàubay hoãn lại,numeric__Khác,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
01/01/2023,01/01/2023,01/01/2023,5.023.761.090.900,608.163.922.799,495.343.640.432,267.207.414.543,-,244.713.124.091,6.639.189.192.765,5023761090900.0,608163922799.0,495343640432.0,267207414543.0,,244713124091.0,6639189192765.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,2.066.687.396.654,190.027.889.069,405.856.279.188,515.077.466.569,875.071.909.143,294.736.854.724,4.347.457.795.347,2066687396654.0,190027889069.0,405856279188.0,515077466569.0,875071909143.0,294736854724.0,4347457795347.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(729.459.161.822),(117.125.728.463),(160.517.980.441),(442.526.903.016),-,(471.684.749.348),(1.921.314.523.090),-729459161822.0,-117125728463.0,-160517980441.0,-442526903016.0,,-471684749348.0,-1921314523090.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,(166.978.535.748),(65.499.397.072),-,223.674.871.733,(8.803.061.087),,,-166978535748.0,-65499397072.0,,223674871733.0,-8803061087.0
01/01/2024,01/01/2024,01/01/2024,6.360.989.325.732,681.066.083.405,573.703.403.431,274.258.581.024,875.071.909.143,291.440.101.200,9.056.529.403.935,6360989325732.0,681066083405.0,573703403431.0,274258581024.0,875071909143.0,291440101200.0,9056529403935.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,50.553.940.931,27.829.045.296,246.891.896.713,700.851.709.329,1.267.232.250.468,119.744.347.974,2.413.103.190.711,50553940931.0,27829045296.0,246891896713.0,700851709329.0,1267232250468.0,119744347974.0,2413103190711.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(978.620.170.376),(120.333.202.392),(235.163.736.366),(192.259.281.919),-,(149.849.892.362),(1.676.226.283.415),-978620170376.0,-120333202392.0,-235163736366.0,-192259281919.0,,-149849892362.0,-1676226283415.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,(75.706.348.549),100.455.038.994,-,(29.976.077.626),(5.227.387.181),,,-75706348549.0,100455038994.0,,-29976077626.0,-5227387181.0
31/12/2024,31/12/2024,31/12/2024,5.432.923.096.287,588.561.926.309,509.725.215.229,883.306.047.428,2.142.304.159.611,231.358.479.186,9.788.178.924.050,5432923096287.0,588561926309.0,509725215229.0,883306047428.0,2142304159611.0,231358479186.0,9788178924050.0
