row_label_raw,row_label_full,col_0,Nội địa VND,Nước ngoài VND,Tổng cộng VND,numeric__Nội địa VND,numeric__Nước ngoài VND,numeric__Tổng cộng VND
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,8.222.359.021.812,1.647.403.882.825,9.869.762.904.637,8222359021812.0,1647403882825.0,9869762904637.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(5.587.228.520.064),(1.501.597.460.261),(7.088.825.980.325),-5587228520064.0,-1501597460261.0,-7088825980325.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,2.635.130.501.748,145.806.422.564,2.780.936.924.312,2635130501748.0,145806422564.0,2780936924312.0
Chi phí hoạt động chung,Chi phí hoạt động chung,Chi phí hoạt động chung,,,(948.892.990.459),,,-948892990459.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,167.531.907.804,,,167531907804.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(45.072.929.624),,,-45072929624.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,4.371.195.381,,,4371195381.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(2.604.118.573),,,-2604118573.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,1.956.269.988.841,,,1956269988841.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,(138.029.455.566),,,-138029455566.0
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,7.883.753.661,,,7883753661.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,1.826.124.286.936,,,1826124286936.0
