row_label_raw,row_label_full,Tên công ty,Hoạt động chính,"Nơi thành lập,đăng kýhoạt động",Tỷ lệ sở hữu và tỷ lệbiểu quyết nắm giữ (%),Tỷ lệ sở hữu và tỷ lệbiểu quyết nắm giữ (%)_1,numeric__Hoạt động chính,"numeric__Nơi thành lập,đăng kýhoạt động",numeric__Tỷ lệ sở hữu và tỷ lệbiểu quyết nắm giữ (%),numeric__Tỷ lệ sở hữu và tỷ lệbiểu quyết nắm giữ (%)_1
Tên công ty,Tên công ty,Tên công ty,Hoạt động chính,"Nơi thành lập,đăng kýhoạt động",31.12.2021,31.12.2020,,,31122021.0,31122020.0
Công ty Cổ phần Bao bìDầu khí Việt Nam,Công ty Cổ phần Bao bìDầu khí Việt Nam,Công ty Cổ phần Bao bìDầu khí Việt Nam,Sản xuất bao bì vàphân bón,Bạc Liêu,"51,03","51,03",,,51.03,51.03
