row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Vốn khác của chủ sở hữu VND,LNST chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Vốn khác của chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,5.294.000.000.000,352.538.306.337,3.665.420.000,428.845.630.394,27.277.893.348,6.106.327.250.079,5294000000000.0,352538306337.0,3665420000.0,428845630394.0,27277893348.0,6106327250079.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,661.046.074.192,1.400.260.079,662.446.334.271,,,,661046074192.0,1400260079.0,662446334271.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2020,Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2020,Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2020,-,66.429.112.258,-,(66.429.112.258),-,-,,66429112258.0,,-66429112258.0,,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020",-,-,-,(122.670.431.407),(450.448.123),(123.120.879.530),,,,-122670431407.0,-450448123.0,-123120879530.0
"Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2019","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2019","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2019",-,-,-,315.244.328,-,315.244.328,,,,315244328.0,,315244328.0
Chia cổ tức năm 2019 (Thuyết minh 24),Chia cổ tức năm 2019 (Thuyết minh 24),Chia cổ tức năm 2019 (Thuyết minh 24),-,-,-,(317.640.000.000),(1.880.279.200),(319.520.279.200),,,,-317640000000.0,-1880279200.0,-319520279200.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,5.294.000.000.000,418.967.418.595,3.665.420.000,583.467.405.249,26.347.426.104,6.326.447.669.948,5294000000000.0,418967418595.0,3665420000.0,583467405249.0,26347426104.0,6326447669948.0
Điều chỉnh lợi nhuận liên quan đến cổ phần hóa (i),Điều chỉnh lợi nhuận liên quan đến cổ phần hóa (i),Điều chỉnh lợi nhuận liên quan đến cổ phần hóa (i),-,-,-,(52.267.239.293),-,(52.267.239.293),,,,-52267239293.0,,-52267239293.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.823.459.057.715,2.665.229.221,1.826.124.286.936,,,,1823459057715.0,2665229221.0,1826124286936.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2021 (ii),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2021 (ii),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2021 (ii),-,546.890.854.637,-,(546.890.854.637),-,-,,546890854637.0,,-546890854637.0,,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (ii)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (ii)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (ii)",-,-,-,(196.791.613.890),(544.191.615),(197.335.805.505),,,,-196791613890.0,-544191615.0,-197335805505.0
"Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020",-,-,-,528.642.500,-,528.642.500,,,,528642500.0,,528642500.0
Chia cổ tức năm 2020 (Thuyết minh 24),Chia cổ tức năm 2020 (Thuyết minh 24),Chia cổ tức năm 2020 (Thuyết minh 24),-,-,-,(423.520.000.000),(1.880.279.200),(425.400.279.200),,,,-423520000000.0,-1880279200.0,-425400279200.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,5.294.000.000.000,965.858.273.232,3.665.420.000,1.187.985.397.644,26.588.184.510,7.478.097.275.386,5294000000000.0,965858273232.0,3665420000.0,1187985397644.0,26588184510.0,7478097275386.0
