row_label_raw,row_label_full,TÀI SẢN CÓ ĐỊNH (tiếp theo),TÀI SẢN CÓ ĐỊNH (tiếp theo)_1,TÀI SẢN CÓ ĐỊNH (tiếp theo)_2,TÀI SẢN CÓ ĐỊNH (tiếp theo)_3,TÀI SẢN CÓ ĐỊNH (tiếp theo)_4,numeric__TÀI SẢN CÓ ĐỊNH (tiếp theo)_1,numeric__TÀI SẢN CÓ ĐỊNH (tiếp theo)_2,numeric__TÀI SẢN CÓ ĐỊNH (tiếp theo)_3,numeric__TÀI SẢN CÓ ĐỊNH (tiếp theo)_4
TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,,,,
,,,Quyền sử dụng đất VND,"Bản quyền, bằng sáng chế VND",Phần mềm máy tính VND,Tổng cộng VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,22.194.885.567,14.080.000.000,110.436.376.805,146.711.262.372,22194885567.0,14080000000.0,110436376805.0,146711262372.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,6.389.701.155,6.389.701.155,,,6389701155.0,6389701155.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,22.194.885.567,14.080.000.000,116.826.077.960,153.100.963.527,22194885567.0,14080000000.0,116826077960.0,153100963527.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,7.573.890.220,14.080.000.000,69.259.799.956,90.913.690.176,7573890220.0,14080000000.0,69259799956.0,90913690176.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.286.648.162,-,21.965.422.050,23.252.070.212,1286648162.0,,21965422050.0,23252070212.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,8.860.538.382,14.080.000.000,91.225.222.006,114.165.760.388,8860538382.0,14080000000.0,91225222006.0,114165760388.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,14.620.995.347,-,41.176.576.849,55.797.572.196,14620995347.0,,41176576849.0,55797572196.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,13.334.347.185,-,25.600.855.954,38.935.203.139,13334347185.0,,25600855954.0,38935203139.0
