row_label_raw,row_label_full,col_0,2021,2020,numeric__2021,numeric__2020
Ngoại tệ,Ngoại tệ,Ngoại tệ,Ngoại tệ,Ngoại tệ,,
USD,Ngoại tệ > USD,USD,489.747,5.996.442,489747.0,5996442.0
EUR,Ngoại tệ > EUR,EUR,1.280,1.280,1280.0,1280.0
