row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2021VND,Số phải thu/ phảinộp trong nămVND,Cấn trừVND,Số đã thụcnộp/được hoàntrong nămVND,Tại ngày31.12.2021VND,numeric__col_1,numeric__Tại ngày1.1.2021VND,numeric__Số phải thu/ phảinộp trong nămVND,numeric__Cấn trừVND,numeric__Số đã thụcnộp/được hoàntrong nămVND,numeric__Tại ngày31.12.2021VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,74.460.526.799,106.821.371.518,(25.344.667.283),(103.134.959.858),52.802.271.176,,74460526799.0,106821371518.0,-25344667283.0,-103134959858.0,52802271176.0
(a),(a) > (a),(a),Thuế GTGT nộp thừa,104.855.724,-,-,-,104.855.724,,104855724.0,,,,104855724.0
(a),(a) > (a),(a),Tiền thuê đất,397.346.605,80.190.633,-,(80.190.633),397.346.605,,397346605.0,80190633.0,,-80190633.0,397346605.0
(a),(a) > (a),(a),Thuế nhập khẩu,-,1.186.326.724,-,(1.186.326.724),-,,,1186326724.0,,-1186326724.0,
(a),(a) > (a),(a),,74.962.729.128,108.087.888.875,(25.344.667.283),(104.401.477.215),53.304.473.505,,74962729128.0,108087888875.0,-25344667283.0,-104401477215.0,53304473505.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Thuế TNDN,26.953.732.461,138.029.455.566,-,(78.860.458.512),86.122.729.515,,26953732461.0,138029455566.0,,-78860458512.0,86122729515.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,2.072.002.963,44.728.091.793,-,(38.798.596.955),8.001.497.801,,2072002963.0,44728091793.0,,-38798596955.0,8001497801.0
(b),(b) > (b),(b),Thuế GTGT phải nộp,1.795.381.607,29.446.851.841,(25.344.667.283),(5.503.861.035),393.705.130,,1795381607.0,29446851841.0,-25344667283.0,-5503861035.0,393705130.0
(b),(b) > (b),(b),Thuế GTGT hàng nhập khẩu,-,5.493.158.143,-,(5.493.158.143),-,,,5493158143.0,,-5493158143.0,
(b),(b) > (b),(b),Thuế tài nguyên,229.003.200,2.533.187.850,-,(2.545.884.600),216.306.450,,229003200.0,2533187850.0,,-2545884600.0,216306450.0
(b),(b) > (b),(b),Thuế khác,16.674.000,915.313.922,-,(927.883.922),4.104.000,,16674000.0,915313922.0,,-927883922.0,4104000.0
(b),(b) > (b),(b),,31.066.794.231,221.146.059.115,(25.344.667.283),(132.129.843.167),94.738.342.896,,31066794231.0,221146059115.0,-25344667283.0,-132129843167.0,94738342896.0
