row_label_raw,row_label_full,col_0,2021 > Giá trịVND,2021 > Số có khả năngtrả nợVND,2020 > Giá trịVND,2020 > Số có khả năngtrả nợVND,numeric__2021 > Giá trịVND,numeric__2021 > Số có khả năngtrả nợVND,numeric__2020 > Giá trịVND,numeric__2020 > Số có khả năngtrả nợVND
Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,
Công ty TNHH TM Kỹ thuậtTri Việt,Bên thứ ba > Công ty TNHH TM Kỹ thuậtTri Việt,Công ty TNHH TM Kỹ thuậtTri Việt,12.536.986.000,12.536.986.000,1.262.501.900,1.262.501.900,12536986000.0,12536986000.0,1262501900.0,1262501900.0
Công ty TNHH Bồ Công AnhSải Gòn,Bên thứ ba > Công ty TNHH Bồ Công AnhSải Gòn,Công ty TNHH Bồ Công AnhSải Gòn,9.129.793.000,9.129.793.000,-,-,9129793000.0,9129793000.0,,
Công ty Cổ phần Vận tảiThuận Phát,Bên thứ ba > Công ty Cổ phần Vận tảiThuận Phát,Công ty Cổ phần Vận tảiThuận Phát,8.506.084.068,8.506.084.068,7.133.603.065,7.133.603.065,8506084068.0,8506084068.0,7133603065.0,7133603065.0
Công ty TNHH Dịch vụThương mại Đầu tư Pháttriển Thành An,Bên thứ ba > Công ty TNHH Dịch vụThương mại Đầu tư Pháttriển Thành An,Công ty TNHH Dịch vụThương mại Đầu tư Pháttriển Thành An,-,-,7.815.959.250,7.815.959.250,,,7815959250.0,7815959250.0
Công ty TNHH Bảo hiểmNhân thọ Sun Life Việt NamKhác,Bên thứ ba > Công ty TNHH Bảo hiểmNhân thọ Sun Life Việt NamKhác,Công ty TNHH Bảo hiểmNhân thọ Sun Life Việt NamKhác,4.859.500.000244.258.705.698,4.859.500.000244.258.705.698,40.000.000.000178.497.586.258,40.000.000.000178.497.586.258,4.859500000244259e+21,4.859500000244259e+21,4.00000000001785e+22,4.00000000001785e+22
Bên liên quan (Thuyết minh38(b)),Bên thứ ba > Bên liên quan (Thuyết minh38(b)),Bên liên quan (Thuyết minh38(b)),515.506.220.595,515.506.220.595,474.417.149.703,474.417.149.703,515506220595.0,515506220595.0,474417149703.0,474417149703.0
,,,794.797.289.361,794.797.289.361,709.126.800.176,709.126.800.176,794797289361.0,794797289361.0,709126800176.0,709126800176.0
