row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2021 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,01,01,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,,1.956.269.988.841,716.533.804.305,,,1956269988841.0,716533804305.0
02,02,02,"Khấu hao tài sản cố định (""TSCĐ"")",35,1.385.810.943.875,1.318.152.452.706,,35.0,1385810943875.0,1318152452706.0
03,03,03,Các khoản dự phòng/(hoàn nhập dự phòng),,37.053.214.321,(8.481.678.247),,,37053214321.0,-8481678247.0
04,04,04,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,,(7.009.326.758),(1.535.037.700),,,-7009326758.0,-1535037700.0
05,05,05,Lãi từ hoạt động đầu tư,30,(130.835.723.223),(111.927.584.745),,30.0,-130835723223.0,-111927584745.0
06,06,06,Chỉ phí lãi vay,31,18.580.201.013,43.301.059.166,,31.0,18580201013.0,43301059166.0
07,07,07,Các khoản điều chỉnh khác,,216.728.275.492,79.425.415.134,,,216728275492.0,79425415134.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,,3.476.597.573.561,2.035.468.430.619,,,3476597573561.0,2035468430619.0
09,09,09,Giảm các khoản phải thu,,30.360.921.226,135.339.605.619,,,30360921226.0,135339605619.0
10,10,10,(Tăng)/giảm hàng tồn kho,,(1.369.647.234.739),475.406.863.546,,,-1369647234739.0,475406863546.0
11,11,11,Tăng/(giảm) các khoản phải trả,,988.217.378.299,(702.525.303.443),,,988217378299.0,-702525303443.0
12,12,12,(Tăng)/giảm chi phí trả trước,,(283.790.994.898),20.815.133.774,,,-283790994898.0,20815133774.0
14,14,14,Tiền lãi vay đã trả,,(22.321.007.371),(57.259.768.947),,,-22321007371.0,-57259768947.0
15,15,15,Thuế TNDN đã nộp,,(78.860.458.512),(42.053.571.588),,,-78860458512.0,-42053571588.0
17,17,17,Tiền chi khác từ hoạt động kinh doanh,,(171.728.350.922),(84.561.387.710),,,-171728350922.0,-84561387710.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,2.568.827.826.644,1.780.630.001.870,,,2568827826644.0,1780630001870.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
21,21,21,"Tiền chỉ để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(156.948.169.088),(272.862.033.943),,,-156948169088.0,-272862033943.0
23,23,23,Tiền chỉ cho tiền gửi có kỳ hạn trên 3 tháng,,(6.530.000.000.000),(3.290.000.000.000),,,-6530000000000.0,-3290000000000.0
24,24,24,Tiền thu từ tiền gửi có kỳ hạn trên 3 tháng,,4.470.000.000.000,2.990.000.000.000,,,4470000000000.0,2990000000000.0
27,27,27,Tiền thu lãi tiền gửi,,114.722.479.389,111.385.557.350,,,114722479389.0,111385557350.0
30,30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(2.102.225.689.699),(461.476.476.593),,,-2102225689699.0,-461476476593.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
33,33,33,"Tiền thu đi vay ngắn hạn, dài hạn",37,1.381.261.865.566,1.722.884.692.677,,37.0,1381261865566.0,1722884692677.0
34,34,34,Tiền chỉ trả nợ gốc vay,37,(1.504.930.606.538),(2.683.435.949.507),,37.0,-1504930606538.0,-2683435949507.0
36,36,36,Tiền chỉ trả cổ tức cho cổ đông,,(425.324.592.700),(319.485.623.200),,,-425324592700.0,-319485623200.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(548.993.333.672),(1.280.036.880.030),,,-548993333672.0,-1280036880030.0
50,50,50,Lưu chuyển tiền thuần trong năm,,(82.391.196.727),39.116.645.247,,,-82391196727.0,39116645247.0
60,60,60,Tiền và tương đương tiền đầu năm,3,509.995.350.873,471.173.323.541,,3.0,509995350873.0,471173323541.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,48.576.758,(294.617.915),,,48576758.0,-294617915.0
70,70,70,Tiền và tương đương tiền cuối năm,3,427.652.730.904,509.995.350.873,,3.0,427652730904.0,509995350873.0
