row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tải và thiết bịtruyền dẫnVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tải và thiết bịtruyền dẫnVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,3.553.580.528.138,10.501.077.536.795,73.539.495.539,84.893.260.941,59.369.973.815,14.272.460.795.228,3553580528138.0,10501077536795.0,73539495539.0,84893260941.0,59369973815.0,14272460795228.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,688.889.850,25.310.354.585,6.788.788.139,14.090.455.726,-,46.878.488.300,688889850.0,25310354585.0,6788788139.0,14090455726.0,,46878488300.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),316.714.497.628,473.786.856.811,-,-,-,790.501.354.439,316714497628.0,473786856811.0,,,,790501354439.0
Khác,Nguyên giá > Khác,Khác,-,-,-,(5.790.031.371),-,(5.790.031.371),,,,-5790031371.0,,-5790031371.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,3.870.983.915.616,11.000.174.748.191,80.328.283.678,93.193.685.296,59.369.973.815,15.104.050.606.596,3870983915616.0,11000174748191.0,80328283678.0,93193685296.0,59369973815.0,15104050606596.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.558.205.899.076,7.677.936.193.359,58.390.810.688,59.794.428.551,18.502.439.027,10.372.829.770.701,2558205899076.0,7677936193359.0,58390810688.0,59794428551.0,18502439027.0,10372829770701.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,336.014.941.671,1.018.707.983.074,4.220.016.788,5.400.900.452,188.907.104,1.364.532.749.089,336014941671.0,1018707983074.0,4220016788.0,5400900452.0,188907104.0,1364532749089.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,2.894.220.840.747,8.696.644.176.433,62.610.827.476,65.195.329.003,18.691.346.131,11.737.362.519.790,2894220840747.0,8696644176433.0,62610827476.0,65195329003.0,18691346131.0,11737362519790.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,995.374.629.062,2.823.141.343.436,15.148.684.851,25.098.832.390,40.867.534.788,3.899.631.024.527,995374629062.0,2823141343436.0,15148684851.0,25098832390.0,40867534788.0,3899631024527.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,976.763.074.869,2.303.530.571.758,17.717.456.202,27.998.356.293,40.678.627.684,3.366.688.086.806,976763074869.0,2303530571758.0,17717456202.0,27998356293.0,40678627684.0,3366688086806.0
