row_label_raw,row_label_full,col_0,2021VND,2020VND,numeric__2021VND,numeric__2020VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.956.269.988.841,716.533.804.305,1956269988841.0,716533804305.0
Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,34.468.105.814,21.530.183.387,34468105814.0,21530183387.0
Thuế tính ở thuế suất 17%,Thuế tính ở thuế suất 17%,Thuế tính ở thuế suất 17%,-,532.283.607,,532283607.0
Thuế tính ở thuế suất 5%,Thuế tính ở thuế suất 5%,Thuế tính ở thuế suất 5%,87.950.804.059,30.334.402.555,87950804059.0,30334402555.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,6.361.738.708,2.749.861.482,6361738708.0,2749861482.0
Lỗ tính thuế mà không ghi nhận tải sản thuế TNDN hoãn lại,Điều chỉnh: > Lỗ tính thuế mà không ghi nhận tải sản thuế TNDN hoãn lại,Lỗ tính thuế mà không ghi nhận tải sản thuế TNDN hoãn lại,-,(1.648.774.800),,-1648774800.0
Dự phòng thiếu của năm trước,Điều chỉnh: > Dự phòng thiếu của năm trước,Dự phòng thiếu của năm trước,1.646.691.782,828.429.759,1646691782.0,828429759.0
Khác,Điều chỉnh: > Khác,Khác,(281.638.458),(238.915.956),-281638458.0,-238915956.0
Chi phí thuế TNDN (*),Điều chỉnh: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),130.145.701.905,54.087.470.034,130145701905.0,54087470034.0
Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,,
Thuế TNDN - hiện hành,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,138.029.455.566,52.561.609.356,138029455566.0,52561609356.0
Thuế TNDN - hoãn lại (Thuyết minh 18),Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hoãn lại (Thuyết minh 18),Thuế TNDN - hoãn lại (Thuyết minh 18),(7.883.753.661),1.525.860.678,-7883753661.0,1525860678.0
,,,130.145.701.905,54.087.470.034,130145701905.0,54087470034.0
