row_label_raw,row_label_full,Viện Dầu khí Việt Nam,-,161.825.875,numeric__-,numeric__161.825.875
Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,Công ty Cổ phần Xăng dầu Dầu khí Sài Gòn,-,222.520.700,,222520700.0
Công ty Bảo hiểm PVI Cà Mau,Công ty Bảo hiểm PVI Cà Mau,Công ty Bảo hiểm PVI Cà Mau,200.000.000,230.000.000,200000000.0,230000000.0
Trường Cạo đăng Nghề Dầu khí,Trường Cạo đăng Nghề Dầu khí,Trường Cạo đăng Nghề Dầu khí,194.267.700,-,194267700.0,
Công ty Cổ phần Thương mại Dầu khí,Công ty Cổ phần Thương mại Dầu khí,Công ty Cổ phần Thương mại Dầu khí,-,194.319.328,,194319328.0
,,,394.267.700,808.665.903,394267700.0,808665903.0
