row_label_raw,row_label_full,col_0,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán_1,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn_1,Tổng cộng,numeric__Chứng khoán đầu tư sẵn sàng để bán,numeric__Chứng khoán đầu tư sẵn sàng để bán_1,numeric__Chứng khoán đầu tư giữ đến ngày đáo hạn,numeric__Chứng khoán đầu tư giữ đến ngày đáo hạn_1,numeric__Tổng cộng
,,,Dự phòng chung,Dự phòng cụ thể,Dự phòng chung,Dự phòng cụ thể,Tổng cộng,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Số dư đầu năm(Hoàn nhập)/trích lập,Số dư đầu năm(Hoàn nhập)/trích lập,Số dư đầu năm(Hoàn nhập)/trích lập,36.495(14.633),621.050(465.800),17.788(8.488),197.352789.406,872.685300.485,,,,197352789406.0,872685300485.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,21.862,155.250,9.300,986.758,1.173.170,21862.0,155250.0,9300.0,986758.0,1173170.0
