row_label_raw,row_label_full,col_0,Nguyên giá/ Giá trị hợp lý khi ghi nhận ban đầu,Giá trị khấu hao lũy kế,Giá trị còn lại,numeric__Nguyên giá/ Giá trị hợp lý khi ghi nhận ban đầu,numeric__Giá trị khấu hao lũy kế,numeric__Giá trị còn lại
,,,Triệu VND,Triệu VND,Triệu VND,,,
"TSCĐ vô hình, chiếm tỷ trọng lớn trong tổng tài sản","TSCĐ vô hình, chiếm tỷ trọng lớn trong tổng tài sản","TSCĐ vô hình, chiếm tỷ trọng lớn trong tổng tài sản",6.300.387,1.857.600,4.442.787,6300387.0,1857600.0,4442787.0
Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vấn còn sử dụng,Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vấn còn sử dụng,Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vấn còn sử dụng,1.535.642,1.535.642,-,1535642.0,1535642.0,
Giá trị còn lại của TSCĐ vô hình đang chờ thanh lý,Giá trị còn lại của TSCĐ vô hình đang chờ thanh lý,Giá trị còn lại của TSCĐ vô hình đang chờ thanh lý,74,74,-,74.0,74.0,
